      week                                theme                                    song sung                        artist      status
0   top 24              semifinals top 12 (men)                              you are my lady               freddie jackson    advanced
1   top 20              semifinals top 10 (men)                               never too much               luther vandross    advanced
2   top 16               semifinals top 8 (men)  i can't help myself (sugar pie honey bunch)                     four tops    advanced
3   top 12                   songs of the 1960s                       ain't too proud to beg               the temptations        safe
4   top 11                          billboard 1     against all odds (take a look at me now)                  phil collins        safe
5   top 10                   songs of the 1990s                                 one last cry                brian mcknight        safe
6    top 9                    songs of broadway             the impossible dream (the quest)              man of la mancha    bottom 2
7    top 8                  year they were born                                  she 's gone                  hall & oates    bottom 3
8    top 7                    1970s dance music                             everlasting love                 robert knight    bottom 3
9    top 6            songs of the 21st century                         dance with my father               luther vandross        safe
10   top 5  leiber and stoller billboard top 40            on broadway everytime you go away  george benson brian mcknight  eliminated
