    year                          australian open                              french open                                   wimbledon                                us open
0   2013                    ana konjuh carol zhao    barbora krejčíková kateřina siniaková       barbora krejčíková kateřina siniaková  barbora krejčíková kateřina siniaková
1   2012        gabrielle andrews taylor townsend        daria gavrilova irina khromacheva            eugenie bouchard taylor townsend      gabrielle andrews taylor townsend
2   2011         an - sophie mestach demi schuurs        irina khromacheva maryna zanevska                  eugenie bouchard grace min         irina khromacheva demi schuurs
3   2010           jana čepelová chantal škamlová              tímea babos sloane stephens                 tímea babos sloane stephens            tímea babos sloane stephens
4   2009        christina mchale ajla tomljanović     elena bogdan noppawan lertcheewakarn         noppawan lertcheewakarn sally peers      valeria solovieva maryna zanevska
5   2008   ksenia lykina anastasia pavlyuchenkova              polona hercog jessica moore                 polona hercog jessica moore    noppawan lertcheewakarn sandra roma
6   2007          evgeniya rodina arina rodionova      ksenia milevskaya urszula radwańska  anastasia pavlyuchenkova urszula radwańska    ksenia milevskaya urszula radwańska
7   2006  sharon fichman anastasia pavlyuchenkova  sharon fichman anastasia pavlyuchenkova   alisa kleybanova anastasia pavlyuchenkova  ioana raluca olaru mihaela buzărnescu
8   2005        victoria azarenka marina eraković           victoria azarenka ágnes szávay              victoria azarenka ágnes szávay       nikola fraňková alisa kleybanova
9   2004          chan yung - jan sun sheng - nan      kateřina böhmová michaëlla krajicek           victoria azarenka olga govortsova     marina eraković michaëlla krajicek
10  2003            casey dellacqua adriana szili             adriana gonzález marta fraga                alisa kleybanova sania mirza     cancelled due to inclement weather
11  2002           gisela dulko angelique widjaja   anna - lena grönefeld barbora strýcová             elke clijsters barbora strýcová        elke clijsters kirsten flipkens
12  2001         petra cetkovská barbora strýcová          petra cetkovská renata voráčová              gisela dulko ashley harkleroad      galina fokina svetlana kuznetsova
13  2000           anikó kapros christina wheeler             maría martínez anabel medina             ioana gaspar tatiana perebiynis             gisela dulko maría salerni
14  1999        eleni daniilidou virginie razzano            flavia pennetta roberta vinci              daniela bedáňová maría salerni     daniela bedáňová iroda tulyaganova
15  1998            evie dominiković alicia molik               kim clijsters jelena dokić                 eva dyrberg jelena kostanić              kim clijsters eva dyrberg
16  1997                mirjana lučić jasmin wöhr               cara black irina selyutina                  cara black irina selyutina      marissa irvin alexandra stevenson
17  1996    michaela paštiková jitka schonfeldova               alice canepa giulia casoni        olga barabanschikova amélie mauresmo           surina de beer jessica steck
18  1995        corina morariu ludmilla varmuzova        corina morariu ludmilla varmuzova                 cara black aleksandra olsza      corina morariu ludmilla varmuzova
19  1994        corina morariu ludmilla varmuzova          martina hingis henrieta nagyová             esme devilliers elizabeth jelfs          surina de beer chantal reuter
20  1993          joana manta ludmilla richterova            laurence courtois nancy feber               laurence courtois nancy feber             nicole london julie steven
21  1992          lindsay davenport nicole london            laurence courtois nancy feber                   marja avotins lisa mcshea        lindsay davenport nicole london
22  1991         karina habšudová barbara rittner               eva bes inés gorrochategui               catherine barclay limor zaltz        kristin godridge kirrily sharpe
23  1990                   rona mayer limor zaltz          ruxandra dragomir irina spîrlea           karina habšudová andrea strnadová          kristin godridge nicole pratt
24  1989          andrea strnadová eva sviglerova             nicole pratt shi - ting wang          jennifer capriati meredith mcgrath     jennifer capriati meredith mcgrath
25  1988         jo - anne faull rachel mcquillan         alexia dechaume emmanuelle derly            jo - anne faull rachel mcquillan          meredith mcgrath kimberley po
26  1987                ann devries nicole provis        natalia medvedeva natalia zvereva           natalia medvedeva natalia zvereva          meredith mcgrath kimberley po
27  1986                            no tournament             leila meshki natalia zvereva               michelle jaggard lisa o'neill        jana novotná radomira zrubáková
28  1985        jenny byrne janine thompson (dec)          mariana perez patricia tarabini                louise field janine thompson     andrea holikova radomira zrubáková
29  1984      louise field larisa savchenko (dec)           digna ketelaar simone schilder             caroline kuhlman stephanie rehe         mercedes paz gabriela sabatini
30  1983    bernadette randall kim staunton (dec)            carin anderholm helena olsson                   patty fendick patricia hy         ann hulbert bernadette randall
31  1982        annette gulley kim staunton (dec)                  beth herr janet lagasse                        penny barg beth herr                   penny barg beth herr
32  1981         maree booth sharon hodgkin (dec)             sophie amiach corinne vanier                               no tournament                          no tournament
