    159   29 january                 carlsberg cup south korea    croatia
0   160   1 february                 carlsberg cup   hong kong    croatia
1   161      1 march                      friendly     croatia  argentina
2   162       23 may                      friendly     austria    croatia
3   163       28 may                      friendly     croatia       iran
4   164       3 june                      friendly     croatia     poland
5   165       7 june                      friendly       spain    croatia
6   166      13 june  world cup 2006 - first round     croatia     brazil
7   167      18 june  world cup 2006 - first round     croatia      japan
8   168      22 june  world cup 2006 - first round     croatia  australia
9   169    16 august                      friendly       italy    croatia
10  170  6 september           euro 2008 qualifier      russia    croatia
11  171    7 october           euro 2008 qualifier     croatia    andorra
12  172   11 october           euro 2008 qualifier     croatia    england
13  173  15 november           euro 2008 qualifier      israel    croatia
