    frequency             station                               operator               language       genre  coverage area
0    93.6 mhz  klasik nasional fm        radio televisyen malaysia (rtm)                  malay       music  gunung ledang
1    96.6 mhz            muzik fm        radio televisyen malaysia (rtm)                  malay       music  gunung ledang
2    97.4 mhz            traxx fm        radio televisyen malaysia (rtm)                english  talk music  gunung ledang
3   100.4 mhz               ai fm        radio televisyen malaysia (rtm)  chinese ( cantonese )  talk music  gunung ledang
4   103.3 mhz           minnal fm        radio televisyen malaysia (rtm)                  tamil  talk music  gunung ledang
5   102.3 mhz          malacca fm        radio televisyen malaysia (rtm)                  malay  talk music  gunung ledang
6    98.9 mhz              red fm        star radio sdn bhd ( the star )          malay english  talk music  gunung ledang
7    98.2 mhz              988 fm        star radio sdn bhd ( the star )  chinese ( cantonese )  talk music  gunung ledang
8    88.5 mhz            suria fm        star radio sdn bhd ( the star )                  malay  talk music  gunung ledang
9    89.5 mhz              ikimfm  institute of islamic studies malaysia         arabic english  talk music  gunung ledang
10   93.0 mhz              hitzfm                     amp radio networks                english  talk music  gunung ledang
11   91.1 mhz              mix fm                     amp radio networks                english  talk music  gunung ledang
12   94.0 mhz              fly fm                     media prima berhad          english malay  talk music  gunung ledang
13   96.0 mhz            sinar fm                     amp radio networks                  malay  talk music  gunung ledang
14  104.3 mhz              hot fm                     media prima berhad                  malay  talk music  gunung ledang
15   88.1 mhz              one fm                     media prima berhad  chinese ( cantonese )  talk music  gunung ledang
16   99.7 mhz               thrfm                     amp radio networks            tamil malay  talk music  gunung ledang
17  106.4 mhz               my fm                     amp radio networks  chinese ( cantonese )  talk music  gunung ledang
18  107.3 mhz                 xfm                     amp radio networks                  malay  talk music  gunung ledang
19   90.3 mhz              era fm                     amp radio networks                  malay  talk music  gunung ledang
20   92.2 mhz              litefm                     amp radio networks                english       music  gunung ledang
