         township     county  pop (2010)  land ( sqmi )  water (sqmi)   latitude     longitude      geo id  ansi code
0            vale      burke          24         34.764         0.959  48.853051  - 102.603806  3801381020    1759332
1        valhalla      wells          20         35.453         0.530  47.792532   - 99.329347  3810381060    1759713
2          valley     barnes         536         32.648         0.036  46.956573   - 97.960032  3800381080    1759736
3          valley     dickey          30         35.334         0.000  46.240808   - 98.566351  3802181100    1036775
4          valley     kidder          25         34.667         1.334  46.756094   - 99.644635  3804381140    1037058
5   valley spring   stutsman          19         33.799         2.215  47.023360   - 99.143116  3809381260    1036491
6       van buren   renville          46         36.016         0.041  48.504235  - 101.384630  3807581300    1759621
7        van hook  mountrail         105         32.895         3.555  47.981040  - 102.318754  3806181420    1037116
8       van meter     dickey          77         36.080         0.000  45.980135   - 98.444062  3802181460    1036745
9            vang       ward          40         34.280         1.660  48.058654  - 101.609830  3810181380    1036951
10       vanville      burke          20         33.398         2.372  48.595587  - 102.418155  3801381500    1037091
11          velva    mchenry         182         35.025         0.100  48.072936  - 100.951186  3804981660    2397887
12         verner    sargent          42         35.381         0.394  46.145991   - 97.935000  3808181780    1036811
13         vernon     kidder          26         29.984         6.049  46.935385   - 99.742727  3804381820    1759478
14         vernon      walsh          88         36.075         0.000  48.325551   - 97.838317  3809981860    1036529
15          vesta      walsh          31         35.860         0.177  48.409812   - 97.981930  3809981980    1036540
16         victor     towner          25         34.825         0.778  48.579968   - 99.038848  3809582020    1759669
17       victoria     mclean          36         31.162         4.789  47.537282  - 101.258207  3805582060    1759545
18           view   williams          32         35.797         0.047  48.236279  - 103.159467  3810582100    1037025
19         viking   richland          67         36.123         0.000  46.499870   - 97.093063  3807782140    1036850
20         viking     traill         169         34.832         0.000  47.542492   - 97.410786  3809782180    1036708
21        villard    mchenry          15         35.747         0.262  48.145470  - 100.550546  3804982220    1759517
22       virginia     towner          15         34.971         0.729  48.754785   - 99.186072  3809582300    1759670
23         vivian    sargent         140         35.099         0.489  46.236434   - 97.830050  3808182340    1036809
24       voltaire    mchenry          32         35.051         0.384  47.971298  - 100.768335  3804982420    2397889
