    year     men 's singles      women 's singles                           men 's doubles                       women 's doubles                         mixed doubles
0   1977       kurt duschek         barbara baker           kurt duschek karl klammsteiner            margitt grittner rita blaas               kurt duschek rita blaas
1   1978     paolo de paoli       wally raffeiner           paolo de paoli hubert grittner        margit grittner wally raffeiner       hubert grittner margit grittner
2   1979     paolo de paoli       margit grittner        hubert grittner karl klammsteiner                  rita tischler v egger             paolo de paoli t roncalli
3   1980     paoli de paoli         rita tischler                paolo de paoli e perolari       christine klotzner resi klotzner  karl klammsteiner christine klotzner
4   1981     paolo de paoli    christine klotzner        hubert grittner karl klammsteiner       christine klotzner resi klotzner       kurt duschek christine klotzner
5   1982     paolo de paoli      charlotte punter                 andrea ortner s faccioli       christine klotzner resi klotzner            s faccioli margit grittner
6   1983     paolo de paoli    christine klotzner                  kurt duschek s faccioli       christine klotzner resi klotzner         s faccioli christine klotzner
7   1984        kurt salutt    christine klotzner               kurt duschek andrea ortner              claudia nista eva stecher       andrea ortner christie klotzner
8   1985        kurt salutt    christine klotzner                 andrea ortner s faccioli              claudia nista eva stecher             kurt salutt claudia nista
9   1986        kurt salutt    christine klotzner               anton klotzner karl freund              claudia nista eva stecher             kurt salutt claudia nista
10  1987        kurt salutt         claudia nista            claus ring pier carlo barioli              claudia nista eva stecher             kurt salutt claudia nista
11  1988   stefan kantioler         claudia nista                 kurt salutt karl prugger          claudia nista maria luisa mur             kurt salutt claudia nista
12  1989     anton klotzner       marie luisa mur              giorgio bianchi kurt salutt          claudia nista maria luisa mur             kurt salutt claudia nista
13  1990     anton klotzner         petra schrott              giorgio bianchi kurt salutt              petra schrott tanja egger            roland osele petra schrott
14  1991     anton klotzner         petra schrott              giorgio bianchi kurt salutt              petra schrott tanja egger             kurt salutt claudia nista
15  1992     anton klotzner         petra schrott           andreas pichler anton klotzner              petra schrott tanja egger          anton klotzner petra schrott
16  1993    andreas pichler         petra schrott          jochen pichler alexander rieder              petra schrott tanja egger          anton klotzner claudia nista
17  1994    andreas pichler          beate dejaco           andreas pichler jochen pichler          claudia nista maria luisa mur        enrico la rosa maria luisa mur
18  1995  gianmarco la rosa          beate dejaco                luigi izzo enrico la rosa          claudia nista maria luisa mur           klaus raffeiner thea gotsch
19  1996    klaus raffeiner          beate dejaco        klaus raffeiner alexander theiner          monica memoli maria luisa mur       gianmarco la rosa monica memoli
20  1997    klaus raffeiner         monica memoli        klaus raffeiner alexander theiner          monica memoli maria luisa mur       alexander theiner monica memoli
21  1998    klaus raffeiner         petra schrott        klaus raffeiner alexander theiner          monica memoli maria luisa mur         andreas pichler petra schrott
22  1999    klaus raffeiner         petra schrott        klaus raffeiner alexander theiner          monica memoli maria luisa mur       simone vincenti maria luisa mur
23  2000    klaus raffeiner  erika henriete stich        klaus raffeiner alexander theiner       agnese allegrini maria luisa mur         klaus raffeiner petra schrott
24  2001    klaus raffeiner      agnese allegrini        klaus raffeiner alexander theiner  agnese allegrini erika henriete stich         klaus raffeiner petra schrott
25  2002    klaus raffeiner      agnese allegrini  cristiano bevilacqua christian bernhard          monica memoli maria luisa mur         klaus raffeiner petra schrott
26  2003    klaus raffeiner      agnese allegrini  cristiano bevilacqua christian bernhard       agnese allegrini federica panini         klaus raffeiner petra schrott
27  2004    klaus raffeiner         monica memoli        klaus raffeiner alexander theiner          monica memoli maria luisa mur         klaus raffeiner petra schrott
28  2005    klaus raffeiner           erika stich        klaus raffeiner alexander theiner            federica panini erika stich       giovanni traina federica panini
29  2006    klaus raffeiner         monica memoli        klaus raffeiner alexander theiner          verena leiter maria luise mur       klaus raffeiner maria luise mur
30  2007     giovanni greco         verena leiter         rosario maddaloni enrico galeani          verena leiter maria luise mur       giovanni traina federica panini
31  2008     marco mondavio      elena chepurnova               luigi izzo giovanni traina          verena leiter maria luise mur        enrico galeani maria luise mur
32  2009     giovanni greco      elena chepurnova               luigi izzo giovanni traina            federica panini erika stich       giovanni traina federica panini
33  2010  rosario maddaloni       federica panini         giovanni greco pierluigi musiari            federica panini erika stich       giovanni traina federica panini
34  2011     giovanni greco      agnese allegrini        giacomo battaglino marco mondavio            federica panini erika stich       giovanni traina federica panini
