    episode no episode no refers to the episodes number in the overall series , whereas series no refers to the episodes number in this particular series  series no                   episode            director                    writer (s)   original airdate
0                                                                                                                                                      16          1         a little lobbying        antonia bird   jeremy brock and paul unwin  12 september 1987
1                                                                                                                                                      17          2  a drop of the hard stuff        antonia bird                  roy mitchell  19 september 1987
2                                                                                                                                                      18          3            shades of love    michael brayshaw                  wally k daly  26 september 1987
3                                                                                                                                                      19          4              cry for help        alan wareing   paul unwin and jeremy brock     3 october 1987
4                                                                                                                                                      20          5                  anaconda    michael brayshaw                   ray brennan    10 october 1987
5                                                                                                                                                      21          6                 lifelines       sharon miller                  jeremy brock    17 october 1987
6                                                                                                                                                      22          7                  the raid       sharon miller                 susan wilkins    24 october 1987
7                                                                                                                                                      23          8             cross fingers        alan wareing                  david ashton    31 october 1987
8                                                                                                                                                      24          9              seeking heat  christopher menaul  ray brennan and jeremy brock    7 november 1987
9                                                                                                                                                      25         10     rock - a - bye - baby       sharon miller                   ginnie hole   14 november 1987
10                                                                                                                                                     26         11                    hooked    michael brayshaw                   billy hamon   21 november 1987
11                                                                                                                                                     27         12                 fun night        alan wareing              al hunter ashton   28 november 1987
12                                                                                                                                                     28         13           peace , brother    michael brayshaw                  david ashton    5 december 1987
13                                                                                                                                                     29         14             burning cases  christopher menaul   jeremy brock and paul unwin   12 december 1987
