     res       record           opponent                         method                                               event  round                                    location
0     nc  11 - 18 (1)       bruce nelson                     no contest                    cfx / crowbar mma : winter brawl      1        fargo , north dakota , united states
1   loss      11 - 18  razak al - hassan                  tko (punches)  north american fighting championship : unstoppable      1      oconomowoc , wisconsin , united states
2   loss      11 - 17        brian heden                   ko (punches)                                   sd total combat 6      2     aberdeen , south dakota , united states
3   loss      11 - 16       justin lemke                  tko (punches)                            gcf : strength and honor      1      west allis , wisconsin , united states
4   loss      11 - 15  houston alexander    tko (leg kicks and punches)                                    adrenaline mma 4      1       council bluffs , iowa , united states
5   loss      11 - 14       joey beltran                  tko (punches)                                          bellator 5      1               dayton , ohio , united states
6   loss      11 - 13      mike marrello               decision (split)                     xtreme fighting organization 28      3         lakemoor , illinois , united states
7   loss      11 - 12        josh barnes  submission (guillotine choke)            extreme challenge : the war at the shore      1  atlantic city , new jersey , united states
8   loss      11 - 11         abe wagner               decision (split)                                   vfc 25: primetime      5       council bluffs , iowa , united states
9   loss      11 - 10          tim hague                  tko (punches)                                    kotc : unrefined      2                 edmonton , alberta , canada
10   win       11 - 9        brian heden  submission (rear naked choke)                     xtreme fighting organization 24      1         lakemoor , illinois , united states
11  loss       10 - 9     alexey oleinik     submission (ezekiel choke)                                yamma pit fighting 1      1  atlantic city , new jersey , united states
12  loss       10 - 8       shane carwin                     ko (punch)                                  rof 31: undisputed      1       broomfield , colorado , united states
13   win       10 - 7         kyle olsen  submission (rear naked choke)                                extreme challenge 85      1     bismarck , north dakota , united states
14  loss        9 - 7   patrick castillo           decision (unanimous)                                   cccf : showdown 2      3           concho , oklahoma , united states
15  loss        9 - 6         jon murphy                             ko                                extreme challenge 75      1        trenton , new jersey , united states
16  loss        9 - 5     tony sylvester                   tko (injury)                                        fightfest 10      1               canton , ohio , united states
17   win        9 - 4      brett stevens  submission (rear naked choke)                                    ecf : winter war      1          spirit lake , iowa , united states
18  loss        8 - 4     antoni hardonk                  ko (leg kick)                                              ufc 65      1     sacramento , california , united states
19   win        8 - 3          pat stano                       decision                                 xtreme gladiators 3      3         richmond , virginia , united states
20   win        7 - 3        aaron brink  submission (rear naked choke)                                      pf 2: live mma      1      hollywood , california , united states
21   win        6 - 3        tony nelson           submission (kneebar)                        iscf : rampage in the cage 2      1       lafayette , louisiana , united states
22  loss        5 - 3      justin eilers                             ko                                combat in the cage 2      2  atlantic city , new jersey , united states
23   win        5 - 2       glen sandull                   ko (punches)                                      sf 3: beatdown      1                  new jersey , united states
24   win        4 - 2       jason cadima                  tko (strikes)                      wfl - real : no fooling around      2      revere , massachusetts , united states
25   win        3 - 2       david woolby     submission (forearm choke)                               wfl : mortal conquest      2      revere , massachusetts , united states
26  loss        2 - 2    carmelo marrero           decision (unanimous)                                  reality fighting 9      2       wildwood , new jersey , united states
27  loss        2 - 1     eric schambari                       decision                       inferno promotions : meltdown      3             garland , texas , united states
28   win        2 - 0        mike dexter  submission (rear naked choke)                               wfl : judgement night      1     taunton , massachusetts , united states
29   win        1 - 0    chris dippolito  submission (guillotine choke)                                  reality fighting 8      1  atlantic city , new jersey , united states
