    rank          nation  gold  silver  bronze  total
0      1          russia     3       0       5      8
1      2     netherlands     3       0       2      5
2      3          france     2       5       3     10
3      4   great britain     2       3       2      7
4      5          poland     2       3       1      6
5      6         belgium     2       2       0      4
6      7           italy     1       1       0      2
7      8           spain     1       0       3      4
8      9         germany     0       0       3      3
9     10         austria     0       1       1      2
10    11      azerbaijan     0       1       0      1
11    12         georgia     0       0       3      3
12  13 =         hungary     0       0       2      2
13  13 =          turkey     0       0       2      2
14  15 =  czech republic     0       0       1      1
15  15 =        portugal     0       0       1      1
16  15 =         romania     0       0       1      1
17  15 =        slovakia     0       0       1      1
18  15 =          sweden     0       0       1      1
