    rank          nation  gold  silver  bronze  total
0      1   united states     8      13      15     36
1      2          russia    10       7       7     24
2      3           japan     7       4       3     14
3      3          canada     4       6       4     14
4      4           italy     2       1       1      4
5      5     south korea     1       2       0      3
6      5          france     1       0       2      3
7      6         finland     2       0       0      2
8      6          sweden     0       0       2      2
9      6     switzerland     1       1       0      2
10     6          israel     0       1       1      2
11     7  czech republic     0       1       0      1
12     7         ukraine     0       0       1      1
