    year                                  award                                      category         nominated work     result
0   1997                       kbs drama awards                    excellence award , actress       when she beckons        won
1   1998                       mbc drama awards                         grand prize (daesang)      see and see again        won
2   2002                       sbs drama awards  excellence award , actress in a serial drama   like a flowing river        won
3   2005  singapore international film festival                                  best actress     this charming girl        won
4   2005                      grand bell awards                              best new actress     this charming girl  nominated
5   2005              pusan film critics awards                              best new actress     this charming girl        won
6   2005                blue dragon film awards                              best new actress     this charming girl        won
7   2005                     korean film awards                              best new actress     this charming girl        won
8   2006                 mnet km music festival                      music video acting award  that man , that woman        won
9   2007                     korean film awards                                  best actress                 solace  nominated
10  2008                       kbs drama awards                top excellence award , actress       women of the sun        won
11  2009                   baeksang arts awards                             best actress (tv)       women of the sun  nominated
