                                               name                   type   planned release        cc license               sources available open source movie
0                                     the last drug           full feature              2009       by - sa 3.0                with the release               yes
1                                 a swarm of angels           full feature           not yet  by - nc - sa 2.0                        intended         partially
2                                         sanctuary                  short           not yet  by - nc - sa 2.5                              no                no
3                         the digital tipping point            documentary  not yet released           by - sa                             yes               yes
4                                         collision                  short           not yet       by - sa 3.0                             yes               yes
5                                   the green sight            documentary           not yet               tbd                             yes               yes
6   the beautiful queen marya morevna - underground       animated feature           not yet            by 3.0                             yes               yes
7                  lunatics! - no children in space  animated series pilot              2012       by - sa 3.0                             yes               yes
8                                          moon dog           feature film              2011            by 3.0                              no                no
9                                              tomã            documentary              2012            by 3.0  intended - looking for hosting               yes
10                         this way to denmark hill           feature film              2013            by 3.0                              no                no
