    rank                nation  gold  silver  bronze  total
0      1         united states    13       7      10     30
1      2                  cuba     5       6       2     13
2      3           netherlands     3       7       7     17
3      4                 japan     3       1       2      6
4      5                canada     1       1       0      2
5      6  netherlands antilles     1       0       1      2
6      7           south korea     0       2       0      2
7      8               germany     0       1       1      2
8      9             australia     0       1       0      1
9      9           puerto rico     0       1       0      1
10    10        chinese taipei     0       0       1      1
11    10                france     0       0       1      1
12    10                 italy     0       0       1      1
