    year  class       team  points  wins
0   1966  125cc        emc       2     0
1   1966  350cc        ajs       6     0
2   1966  500cc  matchless       7     0
3   1967  350cc        ajs       0     0
4   1967  500cc  matchless       6     0
5   1968  350cc        ajs       0     0
6   1968  500cc  matchless       9     0
7   1969  500cc  matchless      12     0
8   1970  350cc        ajs       0     0
9   1970  500cc  matchless      22     0
10  1971  250cc         mz       8     0
11  1971  350cc         mz      15     1
12  1971  500cc  matchless      12     0
13  1972  500cc  matchless       0     0
14  1973  500cc  matchless      12     0
