                                 team              car (s)                        driver (s)                  primary sponsor (s)            owner (s)         crew chief  rounds
0             biagi - denbeste racing         ford mustang                kevin swindell (r)               carroll shelby engines            mike curb         jon hanson      11
1              creation - cope racing     chevrolet camaro                      derrike cope                                n / a         derrike cope   jacob richardson       4
2                 deware racing group         ford mustang                      kevin lepage                                qello         scott deware     larry balsitis       3
3                    joe gibbs racing         toyota camry                      matt kenseth                  reser 's / gamestop            joe gibbs         matt lucas      14
4                      jr motorsports     chevrolet camaro               dale earnhardt , jr                         taxslayercom  dale earnhardt , jr     ryan pemberton       4
5                      kh motorsports         ford mustang                 dexter stacey (r)                      maddie 's place      kristin hamelin       david ingram      18
6                    make motorsports  chevrolet silverado                      danny efland                       defiant whisky          mark beaver     perry mitchell       5
7                      ml motorsports     chevrolet impala                      johanna long                foretravel motorcoach   mary louise miller     mark gutekunst      21
8         nemco - jay robinson racing         toyota camry                       tony raines                                n / a   mary louise miller       jay robinson      15
9                      r3 motorsports     chevrolet camaro            robert richardson , jr                              stalkit    robert richardson     tony eury , jr      12
10           richard childress racing     chevrolet camaro                  dakoda armstrong                   winfield / muddcom    richard childress        scott naset       9
11                   rick ware racing         ford mustang                         carl long                                qolix            rick ware  sterling laughlin      18
12                   rick ware racing         ford mustang                donnie neuenberger                                n / a    robert richardson      george church      16
13                roush fenway racing         ford mustang        chris buescher / ryan reed        american diabetes association           jack roush       seth barbour      11
14           shepherd racing ventures     dodge challenger                   morgan shepherd                    malamphy electric      morgan shepherd      mike malamphy      15
15                           team slr     chevrolet impala  scott lagasse , jr / ryan preece  hybridlight / boy scouts of america        scott lagasse       brad parrott      19
16              the motorsports group     chevrolet camaro                         josh wise                  curtis key plumbing           curtis key        mike sroufe      25
17              the motorsports group     chevrolet camaro                         j j yeley                  curtis key plumbing           curtis key        david jones      20
18              the motorsports group     chevrolet camaro                          t j bell                  curtis key plumbing           curtis key      steve maynard       5
19           turner scott motorsports     chevrolet camaro                        jeb burton                 arrowhead cigarettes     harry scott , jr         mike greci       5
20                      vision racing         toyota camry                  tanner berryhill               keller williams realty     adrian berryhill       benny gordon       6
21                      vision racing         toyota camry                  matt dibenedetto               nationalcashlenderscom       tina berryhill   adrian berryhill       8
22  viva motorsports with frank cicci     chevrolet camaro                        jamie dick                viva automotive group           jimmy dick       jason miller      15
