    rank          nation  gold  silver  bronze  total
0      1    soviet union    51      58      46    155
1      2          russia    49      37      36    122
2      3         austria    45      37      37    119
3      4   great britain    27      36      40    103
4      5         germany    24      34      33     91
5      6          france    23      28      25     76
6      7    east germany    23      10      18     51
7      8  czechoslovakia    16      13      14     43
8      9          sweden    11       1       6     18
9     10         hungary    10      14      12     36
10    11           italy     8       9       6     23
11    12     netherlands     6       3       3     12
12    12          norway     6       3       3     12
13    14     switzerland     4      10       3     17
14    15         ukraine     3       7       8     18
15    16         finland     2       2       7     11
16    17  czech republic     1       2       2      5
17    18   united states     1       1       1      3
18    19         belgium     1       0       4      5
19    20           spain     1       0       0      1
20    21          poland     0       3       4      7
21    22        bulgaria     0       2       1      3
22    23      yugoslavia     0       1       0      1
23    24       lithuania     0       0       2      2
24    25         georgia     0       0       2      2
