    district          incumbent       party  first elected        result                                  candidates
0    texas 1      wright patman  democratic           1928  re - elected                 wright patman (d) unopposed
1    texas 3  lindley beckworth  democratic           1956  re - elected             lindley beckworth (d) unopposed
2    texas 4        sam rayburn  democratic           1912  re - elected                   sam rayburn (d) unopposed
3    texas 5      bruce r alger  republican           1954  re - elected  bruce r alger (r) 57.3% joe pool (d) 42.7%
4    texas 6      olin e teague  democratic           1946  re - elected                 olin e teague (d) unopposed
5    texas 7         john dowdy  democratic           1952  re - elected                    john dowdy (d) unopposed
6   texas 11    william r poage  democratic           1936  re - elected               william r poage (d) unopposed
7   texas 12         jim wright  democratic           1954  re - elected                    jim wright (d) unopposed
8   texas 13      frank n ikard  democratic           1951  re - elected                 frank n ikard (d) unopposed
9   texas 14  john andrew young  democratic           1956  re - elected             john andrew young (d) unopposed
10  texas 15      joe m kilgore  democratic           1954  re - elected                 joe m kilgore (d) unopposed
11  texas 18    walter e rogers  democratic           1950  re - elected               walter e rogers (d) unopposed
12  texas 20      paul j kilday  democratic           1938  re - elected                 paul j kilday (d) unopposed
