   locomotive number         model                      type         propulsion              manufacturer
0             ctn 32     vo - 1000                  switcher  diesel - electric  baldwin locomotive works
1             ctn 46     emd sw900                  switcher  diesel - electric   gm electro - motive div
2             ctn 50       emd sw9                  switcher  diesel - electric   gm electro - motive div
3             ctn 51       emd sw9                  switcher  diesel - electric   gm electro - motive div
4           ctn 1201    emd sw1200                  switcher  diesel - electric   gm electro - motive div
5           ctn 1203    emd sw1200                  switcher  diesel - electric   gm electro - motive div
6           ctn 1204  emd sw1200rs                  switcher  diesel - electric   gm electro - motive div
7           ctn 1307     emd gp7 u  four - axle roadswitcher  diesel - electric   gm electro - motive div
8           ctn 1364      emd gp7u  four - axle roadswitcher  diesel - electric   gm electro - motive div
9           ctn 1501    emd sw1500                  switcher  diesel - electric   gm electro - motive div
10          ctn 1502    emd sw1500                  switcher  diesel - electric   gm electro - motive div
