   year (ceremony)               film title used in nomination                              original title  language (s)               director                  result
0      1961 (34th)                     the shadows grow longer                  die schatten werden länger        german         ladislao vajda           not nominated
1      1970 (43rd)                                  first love                                 erste liebe        german      maximilian schell                 nominee
2      1972 (45th)                               la salamandre                               la salamandre        french           alain tanner           not nominated
3      1973 (46th)                                l'invitation                                l'invitation        french         claude goretta                 nominee
4      1974 (47th)                     the middle of the world                          le milieu du monde        french           alain tanner           not nominated
5      1975 (48th)                               confrontation                               konfrontation  swiss german             rolf lyssy           not nominated
6      1976 (49th)       jonah who will be 25 in the year 2000          jonas qui aura 25 ans en l'an 2000        french           alain tanner           not nominated
7      1979 (52nd)                          les petites fugues                          les petites fugues        french            yves yersin           not nominated
8      1980 (53rd)                       every man for himself                     sauve qui peut (la vie)        french      jean - luc godard           not nominated
9      1981 (54th)                            the boat is full                           das boot ist voll        german          markus imhoof                 nominee
10     1982 (55th)                                         yol                                         yol       turkish            şerif gören           not nominated
11     1983 (56th)                           in the white city                       dans la ville blanche        french           alain tanner           not nominated
12     1984 (57th)                             dangerous moves                         la diagonale du fou        french          richard dembo       won academy award
13     1985 (58th)                                   high fire                                  höhenfeuer  swiss german            fredi murer           not nominated
14     1986 (59th)                                      tanner                         der schwarze tanner  swiss german          xavier koller           not nominated
15     1987 (60th)                    if the sun never returns                si le soleil ne revenait pas        french         claude goretta           not nominated
16     1989 (62nd)                           my favorite story                              mon cher sujet        french  anne - marie miéville           not nominated
17     1990 (63rd)                             journey of hope                          reise der hoffnung       turkish          xavier koller       won academy award
18     1991 (64th)                                    der berg                                    der berg        german          markus imhoof           not nominated
19     1992 (65th)                                  off season                                 hors saison        french          daniel schmid           not nominated
20     1993 (66th)                        le journal de lady m                        le journal de lady m        french           alain tanner           not nominated
21     1994 (67th)                          three colors : red                      trois couleurs : rouge        french   krzysztof kieslowski            disqualified
22     1995 (68th)                    adultère , mode d'emploi                    adultère , mode d'emploi        french       christine pascal           not nominated
23     1996 (69th)                                 les agneaux                                 les agneaux        french       marcel schupbach           not nominated
24     1997 (70th)                             for ever mozart                             for ever mozart        french      jean - luc godard           not nominated
25     1998 (71st)                 la guerre dans le haut pays                 la guerre dans le haut pays        french        francis reusser           not nominated
26     1999 (72nd)  beresina , or the last days of switzerland  beresina oder die letzten tage der schweiz  swiss german          daniel schmid           not nominated
27     2000 (73rd)                                   gripsholm                                   gripsholm        german          xavier koller           not nominated
28     2001 (74th)                           in praise of love                            éloge de l'amour        french      jean - luc godard           not nominated
29     2002 (75th)                               aime ton père                               aime ton père        french           jacob berger           not nominated
30     2004 (77th)                          mein name ist bach                          mein name ist bach        german     dominique de rivaz           not nominated
31     2005 (78th)                      tout un hiver sans feu                      tout un hiver sans feu        french          greg zglinski           not nominated
32     2006 (79th)                                       vitus                                       vitus  swiss german            fredi murer  made january shortlist
33     2007 (80th)                               late bloomers                         die herbstzeitlosen  swiss german         bettina oberli           not nominated
34     2008 (81st)                                  the friend                                  der freund  swiss german         micha lewinsky           not nominated
35     2009 (82nd)                                        home                                        home        french           ursula meier           not nominated
36     2011 (84th)                                summer games                             giochi d'estate       italian          rolando colla           not nominated
37     2012 (85th)                                      sister                          l'enfant d'en haut        french           ursula meier  made january shortlist
