         year           men 's singles                                men 's doubles                       women 's doubles                              mixed doubles
0        1985            heinz fischer                 heinz fischer jeliazko valkov            monika cassens kerstin bohn                thomas mundt monika cassens
1        1986            heinz fischer                       thomas lund max gandrup            susanne pedersen tanja berg                thomas mundt monika cassens
2        1987         jacek hankiewicz            peter buch jensen karsten wolfgang      monika cassens angela michalowski              kai abraham petra michalowsky
3        1988                 jin feng                             lin jian fu qiang               lin yanfen zhang wanling                        li jian gao meifeng
4        1989           liang zhiofang                         yu lizhi zheng shouta               lin yanfen zhang wanling                        chi bing lin yanfen
5        1990          andrey antropov                 andrey antropov nikolai zuyev        diana koleva hellene kirkegaard                 nikolai zuyev irina serova
6        1991        robert liljeqvist                    markus keck michael helber   andrea findhammer anne - katrin seid             markus keck anne - katrin seid
7        1992         anatoliy skripko               svetoslav stoyanov mihail popov            nelly nedjalkova r assenova         svetoslav stoyanov raina tzvetkova
8        1993             hannes fuchs              mikhail korschuk vitaliy shmakov       gerasimovich vlada chernyavskaya        vitaliy shmakov vlada chernyavskaya
9        1994             hannes fuchs              robert mateusiak damian plawecki     elena nozdran victoria evtuschenko  vladislav druzchenko victoria evtuschenko
10       1995           anders nielsen                        thomas reidy kevin han          diana koleva nelly nedjalkova  vladislav druzchenko victoria evtuschenko
11  1996 1998           no competition                                no competition                         no competition                             no competition
12       1999              kasper ødum                 joachim tesche christian mohr          diana koleva nelly nedjalkova        valerij streltsov natalia golovkina
13       2000           no competition                                no competition                         no competition                             no competition
14       2001          richard vaughan                 peter jeffrey ian palenthorpe           liza parker suzanne rayappan                  robert blair natalie munt
15       2002         stanislav pukhov                stanislav pukhov nikolai zuyev  natalia gorodnicheva marina yakusheva             nikolai zuyev marina yakusheva
16       2003               shoji sato        thomas roejkjaer jensen tommy sörensen           petya nedelcheva nely boteva         dimitry miznikov natalia golovkina
17       2004              nathan rice              ruben gordown aji basuki sindoro     ranga ingolfsdottir sra jonsdottir                steve foster jenny wallwork
18       2005  joachim fischer nielsen               mihail popov svetoslav stoyanov          petya nedelcheva diana dimova         vladimir metodiev petya nedelcheva
19       2006             sergei ivlev  rasmus mangor andersen peter buur steffensen          petya nedelcheva diana dimova             tim dettmann annekatrin lillie
20       2007             jan fröhlich                robert mateusiak michał łogosz          nina vislova valeria sorokina          alexander nikolaenko nina vislova
21       2008             yuichi ikeda            vitaliy durkin alexandr nikolaenko          nina vislova valeria sorokina           alexandr nikolaenko nina vislova
22       2009              rune ulsing     kasper faust henriksen anders kristiansen    petya nedelcheva anastasia russkikh       robert mateusiak nadieżda kostiuczyk
23       2010         przemyslaw wacha                      marcus ellis peter mills    petya nedelcheva anastasia russkikh          evgeniy dremin anastasia russkikh
24       2011         przemyslaw wacha               liang jui - wei liao kuan - hao     heather olver mariana agathangelou         valeriy atrashchenkov anna kobceva
25       2012        kestutis navickas                     robert blair tan bin shen         gabriela stoeva stefani stoeva               michael fuchs birgit michels
26       2013               emil holst            lukasz moren wojciech szkudlarczyk         gabriela stoeva stefani stoeva                robert blair imogen bankier
