    channel                                     name                    language                         owner            group         type
0         1                                      tv1                       malay                           rtm  free - to - air  terrestrial
1         2                                      tv2                       malay                           rtm  free - to - air  terrestrial
2         3                                      tv3                       malay                          stmb  free - to - air  terrestrial
3         4                                astro ria                       malay                         astro   astro channels    satellite
4         5                         astro supersport                     english                         astro   astro channels    satellite
5         6        astro asian entertainment channel                     chinese                         astro   astro channels    satellite
6         7                        astro wah lai toi                   cantonese                         astro   astro channels    satellite
7         8                           astro vaanavil                       tamil                         astro   astro channels    satellite
8         9                   cnn international news                     english                           cnn             news    satellite
9        10                        discovery channel    english (malay subtitle)      discovery communications        education    satellite
10       11                                 nbc asia    english (malay subtitle)   national geographic society        education    satellite
11       12                espn international sports                     english                          espn           sports    satellite
12       13                              star sports                     english                       star tv           sports    satellite
13       14                 hbo international movies    english (malay subtitle)                           hbo           movies    satellite
14       15                              star movies    english (malay subtitle)                       star tv           movies    satellite
15       16                                 mgm gold    english (malay subtitle)           metro goldwyn mayer           movies    satellite
16       17  cartoon network & turner classic movies    english (malay subtitle)               cartoon network         animated    satellite
17       18                               star world    english (malay subtitle)                       star tv    entertainment    satellite
18       19                    channel international    english (malay subtitle)                       star tv    entertainment    satellite
19       20                                      mtv    english (malay subtitle)                  mtv networks    entertainment    satellite
20       21                  phoenix chinese channel                     chinese  phoenix satellite television             jade    satellite
21       22                              star movies  cantonese (malay subtitle)                       star tv             jade    satellite
