    rank          nation  gold  silver  bronze  total
0      1    east germany    12      12      10     34
1      2   great britain     9       5       4     18
2      3    soviet union     6       9       6     21
3      4           italy     5       2       5     12
4      5          france     3       2       5     10
5      6    west germany     3       2       2      7
6      7      yugoslavia     2       1       1      4
7      8        portugal     1       0       1      2
8      9  czechoslovakia     1       0       0      1
9      9         finland     1       0       0      1
10    11         hungary     0       2       0      2
11    11           spain     0       2       0      2
12    13          sweden     0       1       3      4
13    14        bulgaria     0       1       1      2
14    14          norway     0       1       1      2
15    14     switzerland     0       1       1      2
16    17     netherlands     0       1       0      1
17    17         romania     0       1       0      1
18    19          poland     0       0       2      2
19    20         austria     0       0       1      1
20    20           total    43      43      43    129
