                               stadium  capacity               city     country                                        tenant  opening
0                         nou mestalla     75000           valencia       spain                                   valencia cf     2014
1                        gazprom arena     69501   saint petersburg      russia                     fc zenit saint petersburg     2015
2                 baku olympic stadium     68000               baku  azerbaijan             azerbaijan national football team     2015
3                   estadio la peineta     67500             madrid       spain                       club atlético de madrid     2015
4                ferenc puskás stadion     65000           budapest     hungary                hungary national football team     2016
5                   stade des lumières     61556               lyon      france                            olympique lyonnais     2014
6   northumberland development project     56250             london     england                             tottenham hotspur     2016
7                fisht olympic stadium     47659              sochi      russia  2014 winter olympics 2014 winter paralympics     2014
8                        arena baltika     45015        kaliningrad      russia                        fc baltika kaliningrad     2017
9                   yubileyniy stadium     45015            saransk      russia                           fc mordovia saransk     2015
10                           vtb arena     45000             moscow      russia                              fc dynamo moscow     2016
11                      samara stadium     44918             samara      russia                      fc krylia sovetov samara     2017
12                       arena baltika     44899        kaliningrad      russia                      fc volga nizhny novgorod     2017
13                      otkrytie arena     44000             moscow      russia                             fc spartak moscow     2014
14                        timsah arena     43877              bursa      turkey                                     bursaspor     2014
15           rostov - on - don stadium     43702  rostov - on - don      russia                                     fc rostov     2015
16                   new konya stadium     42276              konya      turkey                                     konyaspor     2014
17             beşiktaş vodafone arena     41903           istanbul      turkey                                      beşiktaş     2014
18                 new trabzon stadium     41565            trabzon      turkey                                   trabzonspor     2016
19         new samsun 19 mayıs stadium     33919             samsun      turkey                                    samsunspor     2015
20                     stadion widzewa     33128               łódź      poland                                   widzew łódź     2013
21                 new antalya stadium     33000            antalya      turkey                                   antalyaspor     2015
22               new eskişehir stadium     33000          eskişehir      turkey                                 eskişehirspor     2015
23               new gaziantep stadium     33000          gaziantep      turkey                                 gaziantepspor     2015
24                 ernest pohl stadium     32340             zabrze      poland                                 górnik zabrze     2013
25                  sammy ofer stadium     30820              haifa      israel                              maccabi haifa fc     2014
26                           vtb arena     30000             moscow      russia                              fc dynamo moscow     2017
27                      batumi stadium     30000             batumi     georgia                              fc dinamo batumi     2013
28                   new varna stadium     30000              varna    bulgaria                         pfc cherno more varna     2013
29                 cska moscow stadium     30000             moscow      russia                               pfc cska moscow     2015
30                  new mersin stadium     25534             mersin      turkey                          mersin idmanyurdu sk     2013
31                       malatya arena     25000            malatya      turkey                                   malatyaspor     2015
32                 new sakarya stadium     25000            sakarya      turkey                                   sakaryaspor     2015
33                 sivas 4 eylül arena     25000              sivas      turkey                                     sivasspor     2015
34              stadion albert flórián     25000           budapest     hungary                               ferencvárosi tc     2015
35                          city arena     25000             trnava    slovakia                             fc spartak trnava     2014
36          lithuania national stadium     25000            vilnius   lithuania              lithuania national football team     2016
37                    debrecen stadion     25000           debrecen     hungary                                 debreceni vsc     2014
38          karabük university stadium     25000            karabük      turkey                            karabük university     2013
