   place              player           country  score to par
0      1       darren clarke  northern ireland     65    - 7
1     t2           ernie els      south africa     66    - 6
2     t2      justin leonard     united states     66    - 6
3     t4         briny baird     united states     67    - 5
4     t4         luke donald           england     67    - 5
5     t4         vijay singh              fiji     67    - 5
6     t4      scott verplank     united states     67    - 5
7     t8        stephen ames            canada     68    - 4
8     t8      stuart appleby         australia     68    - 4
9     t8            k j choi       south korea     68    - 4
10    t8       chris dimarco     united states     68    - 4
11    t8            jay haas     united states     68    - 4
12    t8  pádraig harrington           ireland     68    - 4
13    t8        geoff ogilvy         australia     68    - 4
14    t8        tim petrovic     united states     68    - 4
15    t8       loren roberts     united states     68    - 4
