    rank                province  population    area   density
0      1           santo domingo     2374370  1302.2   1823.35
1      2       distrito nacional      965040    91.6  10535.37
2      3                santiago      963422  2806.3    343.31
3      4           san cristóbal      569930  1240.6    459.40
4      5                 la vega      394205  2292.5    171.95
5      6            puerto plata      321597  1805.6    178.11
6      7    san pedro de macorís      290458  1254.3    231.57
7      8                  duarte      289574  1649.5    175.55
8      9           la altagracia      273210  2998.4     91.12
9     10               la romana      245433   652.1    376.37
10    11                san juan      232333  3363.8     69.07
11    12               espaillat      231938   843.0    275.13
12    13                    azua      214311  2682.5     79.89
13    14                barahona      187105  1660.2    112.70
14    15             monte plata      185956  2601.6     71.48
15    16                 peravia      184344   785.2    234.77
16    17          monseñor nouel      165224   992.0    166.56
17    18                valverde      163030   823.0    198.09
18    19         sánchez ramírez      151392  1185.8    127.67
19    20  maría trinidad sánchez      140925  1206.5    116.80
20    21            monte cristi      109607  1885.8     58.12
21    22                  samaná      101494   862.8    117.63
22    23                 baoruco       97313  1284.9     75.74
23    24        hermanas mirabal       92193   427.4    215.71
24    25                el seibo       87680  1788.4     49.03
25    26              hato mayor       85017  1319.3     64.44
26    27                 dajabón       63955  1021.3     62.62
27    28              elías piña       63029  1395.5     45.17
28    29        san josé de ocoa       59544   853.4     69.77
29    30      santiago rodríguez       57476  1147.5     50.09
30    31           independencia       52589  2007.4     26.20
31    32              pedernales       31587  2080.5     15.18
