    rank                       title          studio         director      gross
0      1            fatal attraction       paramount      adrian lyne  320145693
1      2        beverly hills cop ii       paramount       tony scott  299965036
2      3               dirty dancing         vestron   emile ardolino  213954274
3      4        the living daylights  united artists        john glen  191200000
4      5        three men and a baby      touchstone    leonard nimoy  167780960
5      6      good morning , vietnam      touchstone   barry levinson  123922370
6      7               lethal weapon     warner bros   richard donner  120207127
7      8    the secret of my success       universal     herbert ross  110996879
8      9                    predator             fox   john mctiernan   98267558
9     10                  moonstruck             mgm   norman jewison   80640528
10    11            the untouchables       paramount   brian de palma   76270454
11    12              broadcast news             fox   james l brooks   67331309
12    13                     dragnet       universal   tom mankiewicz   66673516
13    14          outrageous fortune      touchstone    arthur hiller   65864741
14    15                    stakeout      touchstone      john badham   65673233
15    16     the witches of eastwick     warner bros    george miller   63766510
16    17  throw momma from the train           orion     danny devito   57915972
17    18                    la bamba        columbia      luis valdez   54215416
18    19                     robocop           orion   paul verhoeven   53424681
19    20            eddie murphy raw       paramount  robert townsend   50505655
