    year                               entrant         chassis                    engine  points
0   1987                  osella squadra corse    osella fa1 g  alfa romeo 1.5l v8 t / c       0
1   1988                            coloni spa    coloni fc188      cosworth dfz 3.5l v8       0
2   1988                            coloni spa   coloni fc188b      cosworth dfz 3.5l v8       0
3   1989                          first racing      first f189           judd ev 3.5l v8       1
4   1989  automobiles gonfaronnaises sportives       ags jh23b      cosworth dfr 3.5l v8       1
5   1989  automobiles gonfaronnaises sportives        ags jh24      cosworth dfr 3.5l v8       1
6   1990  automobiles gonfaronnaises sportives        ags jh24      cosworth dfr 3.5l v8       0
7   1990  automobiles gonfaronnaises sportives        ags jh25      cosworth dfr 3.5l v8       0
8   1991  automobiles gonfaronnaises sportives        ags jh25      cosworth dfr 3.5l v8       0
9   1991  automobiles gonfaronnaises sportives       ags jh25b      cosworth dfr 3.5l v8       0
10  1991  automobiles gonfaronnaises sportives        ags jh27      cosworth dfr 3.5l v8       0
11  1991                      fondmetal f1 spa        fomet f1      cosworth dfr 3.5l v8       0
12  1992                      fondmetal f1 spa  fondmetal gr01           ford hb 3.5l v8       0
13  1992                      fondmetal f1 spa  fondmetal gr02           ford hb 3.5l v8       0
14  1995                  nokia tyrrell yamaha     tyrrell 023      yamaha ox10c 3.0 v10       0
