                                    name   years          area         authority  decile  roll
0                           auroa school   1 - 8         auroa             state       8   170
1                          eltham school   1 - 8        eltham             state       3   172
2                hawera christian school   1 - 8        hawera  state integrated       6    33
3                     hawera high school  9 - 15        hawera             state       5   757
4                    hawera intermediate   7 - 8        hawera             state       5   334
5                  hawera primary school   1 - 6        hawera             state       4   215
6                     hurleyville school   1 - 6   hurleyville             state       4    17
7                       kakaramea school   1 - 6     kakaramea             state       5    62
8                         kaponga school   1 - 8       kaponga             state       4   114
9                          manaia school   1 - 8        manaia             state       4   126
10                         matapu school   1 - 8        matapu             state       7   112
11                         mokoia school   1 - 6        mokoia             state       7    19
12                   ngamatapouri school   1 - 8  ngamatapouri             state       9    13
13                       normanby school   1 - 6      normanby             state       4   157
14                   opunake high school  9 - 15       opunake             state       4   305
15                        opunake school   1 - 8       opunake             state       4   195
16                     patea area school  1 - 15         patea             state       1   146
17                         rahotu school   1 - 8        rahotu             state       6   131
18                        ramanui school   1 - 6        hawera             state       2    55
19                     rawhitiroa school   1 - 8    rawhitiroa             state       6    35
20          st joseph 's school (hawera)   1 - 8        hawera  state integrated       6   291
21         st joseph 's school (opunake)   1 - 8       opunake  state integrated       6   129
22           st joseph 's school (patea)   1 - 6         patea  state integrated       1    22
23                  st patrick 's school   1 - 8       kaponga  state integrated       5    30
24                        tawhiti school   1 - 6        hawera             state       4   258
25           te kura o nga ruahine rangi  1 - 15     mangatoki             state       3    14
26  te kura kaupapa maori o ngati ruanui   1 - 8        hawera             state       1    55
27     te kura kaupapa maori o tamarongo   1 - 8       opunake             state       4    14
28                       turuturu school   1 - 6        hawera             state       6   237
29                      waitotara school   1 - 8     waitotara             state       2    15
30               waverley primary school   1 - 6      waverley             state       3   145
31                     whenuakura school   1 - 6    whenuakura             state       4    29
