     rank          nation  gold  silver  bronze  total
0       1           japan     8       4       4     16
1       2     south korea     3       2       7     12
2       3        mongolia     2       1       2      5
3       4     north korea     1       2       0      3
4       5            iran     1       1       1      3
5       6      uzbekistan     1       0       4      5
6       7      kazakhstan     0       3       4      7
7       8  chinese taipei     0       2       1      3
8       9           china     0       1       5      6
9      10      tajikistan     0       0       3      3
10     11          kuwait     0       0       1      1
11  total           total    16      16      32     64
