                            round                          venue                     discipline                           date                         winner                         second                          third
0                               1                     düsseldorf                1.5 km f sprint                27 october 2007            josef wenzl ( ger )             björn lind ( swe )     john kristian dahl ( nor )
1                               2                    beitostølen             15 km f individual               24 november 2007         axel teichmann ( ger )            lukáš bauer ( cze )       anders södergren ( swe )
2                               3                        kuusamo                1.2 km c sprint                1 december 2007         johan kjølstad ( nor )           emil jönsson ( swe )           mats larsson ( swe )
3                               4                        kuusamo             15 km c individual                2 december 2007            lukáš bauer ( cze )          eldar rønning ( nor )         axel teichmann ( ger )
4                               5                          davos             15 km c individual                8 december 2007         axel teichmann ( ger )  odd - bjørn hjelmeset ( nor )        sami jauhojärvi ( fin )
5                               6                        rybinsk             30 km f mass start               15 december 2007       tor arne hetland ( nor )       ville nousiainen ( fin )  pietro piller cottrer ( ita )
6                               7                        rybinsk                1.3 km f sprint               16 december 2007        anders gløersen ( nor )    ola vigen hattestad ( nor )      øystein pettersen ( nor )
7                     tour de ski                    tour de ski                    tour de ski                    tour de ski                    tour de ski                    tour de ski                    tour de ski
8                               8                     nové město              4.5 km c prologue               28 december 2007            lukáš bauer ( cze )         axel teichmann ( ger )  odd - bjørn hjelmeset ( nor )
9                               9                     nové město         15 km f handicap start               29 december 2007       emmanuel jonnier ( fra )            lukáš bauer ( cze )        valerio checchi ( ita )
10                             10                         prague                  1 km f sprint               30 december 2007        nikolay morilov ( rus )         simen østensen ( nor )       tor arne hetland ( nor )
11                             11                     nové město         15 km f handicap start                 1 january 2008  pietro piller cottrer ( ita )        valerio checchi ( ita )       emmanuel jonnier ( fra )
12                             12                     nové město             15 km c individual                 2 january 2008            lukáš bauer ( cze )    jens arne svartedal ( nor )      nikolay pankratov ( rus )
13                             13                         asiago                1.2 km f sprint                 4 january 2008         petter northug ( nor )       nikolay chebotko ( kaz )       tor arne hetland ( nor )
14                             14                  val di fiemme             20 km c mass start                 5 january 2008  odd - bjørn hjelmeset ( nor )    jens arne svartedal ( nor )           franz göring ( ger )
15                             15                  val di fiemme         10 km f handicap start                 6 january 2008       rené sommerfeldt ( ger )     christian hoffmann ( aut )        martin bajčičák ( svk )
16  tour de ski - final standings  tour de ski - final standings  tour de ski - final standings  tour de ski - final standings            lukáš bauer ( cze )       rené sommerfeldt ( ger )       giorgio di centa ( ita )
17             end of tour de ski             end of tour de ski             end of tour de ski             end of tour de ski             end of tour de ski             end of tour de ski             end of tour de ski
18                             16                        canmore           15 + 15 km m pursuit                22 january 2008      nikolay pankratov ( rus )       giorgio di centa ( ita )         axel teichmann ( ger )
19                             17                        canmore                1.2 km c sprint                23 january 2008             børre næss ( nor )    ola vigen hattestad ( nor )          eldar rønning ( nor )
20                             18                        canmore             15 km f individual                25 january 2008        valerio checchi ( ita )       rené sommerfeldt ( ger )  pietro piller cottrer ( ita )
21                             19                        canmore                1.2 km f sprint                26 january 2008           emil jönsson ( swe )            ivan ivanov ( rus )     mattias strandvall ( fin )
22                             20                         otepää             15 km c individual                9 february 2008            lukáš bauer ( cze )               jaak mae ( est )       ville nousiainen ( fin )
23                             21                         otepää                1.4 km c sprint               10 february 2008          eldar rønning ( nor )     john kristian dahl ( nor )    ola vigen hattestad ( nor )
24                             22                        liberec           11.4 km f individual               16 february 2008     jean marc gaillard ( fra )            lukáš bauer ( cze )     christian hoffmann ( aut )
25                             23                          falun           15 + 15 km m pursuit               23 february 2008            lukáš bauer ( cze )    tord asle gjerdalen ( nor )       anders södergren ( swe )
26                             24                      stockholm                  1 km c sprint               27 february 2008    jens arne svartedal ( nor )             børre næss ( nor )           emil jönsson ( swe )
27                             25                          lahti                1.2 km f sprint                   1 march 2008        anders gløersen ( nor )          andrew newell ( usa )    ola vigen hattestad ( nor )
28                             26                          lahti             15 km c individual                   2 march 2008            lukáš bauer ( cze )       rené sommerfeldt ( ger )      sergey cherepanov ( kaz )
29                             27                        drammen                  1 km c sprint                   5 march 2008    ola vigen hattestad ( nor )    jens arne svartedal ( nor )           emil jönsson ( swe )
30                             28                           oslo             50 km f individual                   8 march 2008       anders södergren ( swe )            lukáš bauer ( cze )           remo fischer ( sui )
31                world cup final                world cup final                world cup final                world cup final                world cup final                world cup final                world cup final
32                             29                         bormio              3.3 km f prologue                  14 march 2008  pietro piller cottrer ( ita )    tord asle gjerdalen ( nor )            martin jakš ( cze )
33                             30                         bormio             20 km c mass start                  15 march 2008         vincent vittoz ( fra )            lukáš bauer ( cze )       giorgio di centa ( ita )
34                             30                         bormio         15 km f handicap start                  16 march 2008         vincent vittoz ( fra )            lukáš bauer ( cze )       giorgio di centa ( ita )
