          nation  gold  silver  bronze  total
0     luxembourg    36      39      31    106
1        iceland    28      29      30     87
2         cyprus    28      17      24     69
3  liechtenstein    11      16       8     35
4     montenegro     9       0       2     11
5         monaco     7       8      15     30
6          malta     2      11      13     26
7        andorra     2       1       3      6
8     san marino     1       4       9     14
9          total   124     125     135    384
