   position                  team  played  wins  draws  losses  scored  conceded  points
0         1         cerro porteño      18    10      6       2      30        15      36
1         2               guaraní      18     9      4       5      21        18      31
2         3              nacional      18     9      3       6      25        22      30
3         4          3 de febrero      18     7      7       4      24        17      28
4         5         12 de octubre      18     6      8       4      22        22      26
5         6               tacuary      18     4     11       3      24        19      23
6         7              libertad      18     4      7       7      21        23      19
7         8      sportivo luqueño      18     3      8       7      20        22      17
8         9  general caballero zc      18     2      7       9      16        28      13
9        10               olimpia      18     2      7       9      10        27      13
