    edition  year             winner        runner - up             third
0         1  1993             vardar             tikveš    sak klagenfurt
1         2  1994             pobeda             tikveš            vardar
2         3  1995            osogovo             sileks            tikveš
3         4  1996             sileks  čukarički stankom  sloga jugomagnat
4         5  1997             sileks                tbc               tbc
5         6  1998  partizan belgrade             tikveš               tbc
6         7  1999             pobeda                tbc               tbc
7         8  2000             pobeda  partizan belgrade            tikveš
8         9  2001             vardar                tbc               tbc
9        10  2002             pobeda             tikveš         teleoptik
10       11  2003       budućnost bd           napredok         teleoptik
11       12  2006             vardar              kožuf            tikveš
12       13  2010             sileks             renova            tikveš
13       14  2011             tikveš             vardar          pelister
14       15  2012   vihren sandanski             sileks            tikveš
