                 date                                   venue  score result                               competition
0         3 july 1972  laugardalsvöllur , reykjavík , iceland  2 - 2  5 - 2                                  friendly
1         3 july 1972  laugardalsvöllur , reykjavík , iceland  4 - 2  5 - 2                                  friendly
2      27 august 1972  drei flüsse stadion , passau , germany  1 - 0  3 - 2                      1972 summer olympics
3      27 august 1972  drei flüsse stadion , passau , germany  3 - 2  3 - 2                      1972 summer olympics
4      29 august 1972     rosenaustadion , augsburg , germany  2 - 0  4 - 0                      1972 summer olympics
5    3 september 1974     idrætsparken , copenhagen , denmark  4 - 0  9 - 0                                  friendly
6         23 may 1976     tsirion stadium , limassol , cyprus  1 - 1  5 - 1              1978 world cup qualification
7          1 may 1977     idrætsparken , copenhagen , denmark  1 - 1  1 - 2              1978 world cup qualification
8        15 june 1977     idrætsparken , copenhagen , denmark  2 - 1  2 - 1             1972 - 77 nordic championship
9   20 september 1978     idrætsparken , copenhagen , denmark  1 - 2  3 - 4  1980 european championship qualification
10        6 june 1979     idrætsparken , copenhagen , denmark  3 - 0  4 - 0  1980 european championship qualification
11        21 may 1980     idrætsparken , copenhagen , denmark  1 - 1  2 - 2                                  friendly
12   19 november 1980     idrætsparken , copenhagen , denmark  4 - 0  4 - 0              1982 world cup qualification
13      15 april 1981     idrætsparken , copenhagen , denmark  1 - 1  2 - 1                                  friendly
14     26 august 1981     idrætsparken , copenhagen , denmark  2 - 0  3 - 0                                  friendly
15     26 august 1981     idrætsparken , copenhagen , denmark  3 - 0  3 - 0                                  friendly
16        1 june 1983     idrætsparken , copenhagen , denmark  3 - 1  3 - 1  1984 european championship qualification
17  21 september 1983           wembley stadium , london , uk  1 - 0  1 - 0  1984 european championship qualification
18    12 october 1983     idrætsparken , copenhagen , denmark  4 - 0  6 - 0  1984 european championship qualification
19   16 november 1983       olympic stadium , athens , greece  2 - 0  2 - 0  1984 european championship qualification
