     res      record         opponent                               method                              event  round                      location
0   loss  10 - 6 - 1        hank weis        submission (guillotine choke)                 kickdown - sturgis      1  south dakota , united states
1   loss  10 - 5 - 1       don ortega                             decision                   pnrf - explosion      2                        mexico
2   loss  10 - 4 - 1       heath sims                 submission (strikes)                 sf 2 - on the move      2        oregon , united states
3   loss  10 - 3 - 1    carlos condit                                  tko               rof 11 - bring it on      1      colorado , united states
4     nc  10 - 2 - 1       doug evans  no contest - evans kicking in groin            ifc - global domination      1      colorado , united states
5    win  10 - 2 - 1  antoine skinner               submission (omo plata)           battleground 1 - war cry      2      illinois , united states
6    win   9 - 2 - 1    michael buell                                  tko      samp - showdown at mcgee park      2                        mexico
7    win   8 - 2 - 1      eric davila                             decision                  rof 5 - predators      3      colorado , united states
8    win   7 - 2 - 1   brad blackburn                             decision                mfc 4 - new groundz      3              alberta , canada
9   loss   6 - 2 - 1    joe stevenson                             decision       up 1 - ultimate pankration 1      3    california , united states
10   win   6 - 1 - 1    joe stevenson                             decision       gc 5 - rumble in the rockies      3      colorado , united states
11   win   5 - 1 - 1       brian dunn        submission (rear naked choke)            msf - total destruction      2  south dakota , united states
12   win   4 - 1 - 1     jeff lindsay                             decision             rof 3 - ring of fire 3      3      colorado , united states
13   win   3 - 1 - 1     clint rather        submission (rear naked choke)             msf - night of thunder      1      colorado , united states
14  draw   2 - 1 - 1     cj fernandes                                 draw                             ufc 27      2     louisiana , united states
15  loss       2 - 1    shonie carter                             decision                             ufc 24      2     louisiana , united states
16   win       2 - 0     dario valdez                           submission  bri 5 - bas rutten invitational 5      1      colorado , united states
17   win       1 - 0   jason mckeever                 submission (arm bar)  bri 1 - bas rutten invitational 1      1                 united states
