    rd                grand prix          date                   location     pole position        fastest lap      winning driver         constructor  report
0    1      brazilian grand prix      26 march                jacarepaguá      ayrton senna   riccardo patrese       nigel mansell             ferrari  report
1    2     san marino grand prix      23 april                      imola      ayrton senna        alain prost        ayrton senna     mclaren - honda  report
2    3         monaco grand prix         7 may                     monaco      ayrton senna        alain prost        ayrton senna     mclaren - honda  report
3    4        mexican grand prix        28 may         hermanos rodríguez      ayrton senna      nigel mansell        ayrton senna     mclaren - honda  report
4    5  united states grand prix        4 june                    phoenix      ayrton senna       ayrton senna         alain prost     mclaren - honda  report
5    6       canadian grand prix       18 june  circuit gilles villeneuve       alain prost    jonathan palmer     thierry boutsen  williams - renault  report
6    7         french grand prix        9 july                paul ricard       alain prost  maurício gugelmin         alain prost     mclaren - honda  report
7    8        british grand prix       16 july                silverstone      ayrton senna      nigel mansell         alain prost     mclaren - honda  report
8    9         german grand prix       30 july             hockenheimring      ayrton senna       ayrton senna        ayrton senna     mclaren - honda  report
9   10      hungarian grand prix     13 august                hungaroring  riccardo patrese      nigel mansell       nigel mansell             ferrari  report
10  11        belgian grand prix     27 august        spa - francorchamps      ayrton senna        alain prost        ayrton senna     mclaren - honda  report
11  12        italian grand prix  10 september                      monza      ayrton senna        alain prost         alain prost     mclaren - honda  report
12  13     portuguese grand prix  24 september                    estoril      ayrton senna     gerhard berger      gerhard berger             ferrari  report
13  14        spanish grand prix     1 october                      jerez      ayrton senna       ayrton senna        ayrton senna     mclaren - honda  report
14  15       japanese grand prix    22 october                     suzuka      ayrton senna        alain prost  alessandro nannini     benetton - ford  report
