     sanderstead       selsdon   coombe road  bingham road      woodside    elmers end
0   morning peak  morning peak  morning peak  morning peak  morning peak  morning peak
1          06:45         06:47         06:49         06:51         06:53         06:56
2          07:15         07:17         07:19         07:21         07:23         07:26
3          07:32         07:37         07:39         07:41         07:43         07:46
4          07:53         07:57         07:59         08:01         08:03         08:06
5          08:14         08:17         08:19         08:21         08:23         08:26
6          08:32         08:37         08:39         08:41         08:43         08:46
7              -         08:57         08:59         09:01         09:03         09:06
8          09:15         09:17         09:19         09:21         09:23         09:26
9          09:48         09:50         09:52         09:54         09:57         10:00
10  evening peak  evening peak  evening peak  evening peak  evening peak  evening peak
11         16:15         16:17         16:19         16:21         16:23         16:26
12         16:31         16:37         16:39         16:41         16:43         16:46
13         16:52         16:57         16:59         17:01         17:03         17:06
14         17:12         17:17         17:19         17:21         17:23         17:26
15             -         17:37         17:39         17:41         17:43         17:46
16         17:55         17:57         17:59         18:01         18:03         18:06
17         18:15         18:17         18:19         18:21         18:23         18:26
18         18:37         18:39         18:41         18:43         18:45         18:48
19         18:50         18:52             -             -             -         18:59
20         19:15         19:17         19:19         19:22         19:24         19:27
