    year                         first member   first party                                   second member  second party
0   1790             peniston portlock powney          tory                          the earl of mornington  non partisan
1   1794                        william grant          tory                          the earl of mornington  non partisan
2   1796                      henry isherwood          tory                       hon robert fulke greville          tory
3   1797            sir william johnston , bt          tory                       hon robert fulke greville          tory
4   1802                        john williams          tory                       hon robert fulke greville          tory
5   1804                    arthur vansittart          tory                       hon robert fulke greville          tory
6   1806                      edward disbrowe          tory                              richard ramsbottom          tory
7   1810                      edward disbrowe          tory  john ramsbottom , junior later john ramsbottom  non partisan
8   1812                      edward disbrowe          tory  john ramsbottom , junior later john ramsbottom          whig
9   1819                      the lord graves          tory  john ramsbottom , junior later john ramsbottom          whig
10  1820                   sir herbert taylor          tory  john ramsbottom , junior later john ramsbottom          whig
11  1823             edward cromwell disbrowe  non partisan  john ramsbottom , junior later john ramsbottom          whig
12  1826            sir richard hussey vivian  non partisan  john ramsbottom , junior later john ramsbottom          whig
13  1830            sir richard hussey vivian          whig  john ramsbottom , junior later john ramsbottom          whig
14  1831                rt hon edward stanley          whig  john ramsbottom , junior later john ramsbottom          whig
15  1832  sir samuel john brooke pechell , bt          whig  john ramsbottom , junior later john ramsbottom          whig
16  1835          sir john edmund de beauvoir       radical  john ramsbottom , junior later john ramsbottom          whig
17  1835                       sir john elley  conservative  john ramsbottom , junior later john ramsbottom          whig
18  1837                        robert gordon          whig  john ramsbottom , junior later john ramsbottom          whig
19  1841                        ralph neville  conservative  john ramsbottom , junior later john ramsbottom          whig
20  1845                        ralph neville  conservative                           george alexander reid  conservative
21  1847                        lord john hay          whig                           george alexander reid  conservative
22  1850                        john hatchell          whig                           george alexander reid  conservative
23  1852                        john hatchell          whig                        charles william grenfell          whig
24  1852               lord charles wellesley  conservative                        charles william grenfell          whig
25  1855                       samson ricardo          whig                        charles william grenfell          whig
26  1857                   william vansittart  conservative                        charles william grenfell          whig
27  1859                   william vansittart  conservative                             george william hope  conservative
28  1863                   william vansittart  conservative                                    richard vyse  conservative
29  1865         sir henry ainslie hoare , bt       liberal                         henry du prã labouchere       liberal
30  1866                      charles edwards       liberal                                     roger eykyn       liberal
