    no in series                                 title       directed by                                         written by   original air date  production code  us viewers (millions)
0              1                                 pilot    michael engler                                       steve franks       july 7 , 2006             1001                   6.06
1              2                         spellingg bee        mel damski                                       steve franks      july 14 , 2006             1002                   4.71
2              3  speak now or forever hold your piece   michael zinberg                                       steve franks      july 21 , 2006             1003                   4.69
3              5                               9 lives      matt shakman                                        andy berman     august 4 , 2006             1006                   4.72
4              6                      weekend warriors  john fortenberry                                  douglas steinberg    august 11 , 2006             1007                   4.76
5              7                     who ya gonna call     michael lange                      kerry lenhart & john j sakmar    august 18 , 2006             1005                   3.92
6              8              shawn vs the red phantom  john t kretchmer                                       anupam nigam    august 25 , 2006             1008                   4.60
7              9                         forget me not        mel damski                      lee goldberg & william rabkin   january 19 , 2007             1009                   3.78
8             10       from the earth to the starbucks   michael zinberg                                       steve franks   january 26 , 2007             1013                   3.70
9             12        cloudy with a chance of murder       lev l spiro                                        andy berman   february 9 , 2007             1010                   3.60
10            13                   game , set muuurder    james l conway                                       anupam nigam  february 16 , 2007             1012                   3.20
11            14               poker i barely know her      joanna kerns  kerry lenhart , john j sakmar & douglas steinberg  february 23 , 2007             1015                   3.74
