    2013 / 14  2012 / 13  2011 / 12  2010 / 11                                           institute          region
0           1          1          3          5               massachusetts institute of technology   united states
1           2          3          2          2                                  harvard university   united states
2           3          2          1          1                             university of cambridge  united kingdom
3           4          4          7          4                           university college london  united kingdom
4           5          6          6          7                             imperial college london  united kingdom
5           6          5          5          6                                university of oxford  united kingdom
6           7         15         11         13                                 stanford university   united states
7           8          7          4          3                                     yale university   united states
8           9          8          8          8                               university of chicago   united states
9          10         10         12          9                  california institute of technology   united states
10         10          9         13         10                                princeton university   united states
11         13         12          9         12                          university of pennsylvania   united states
12         14         11         10         11                                 columbia university   united states
13         15         14         15         16                                  cornell university   united states
14         16         16         16         17                            johns hopkins university   united states
15         17         21         20         22                             university of edinburgh  united kingdom
16         17         19         23         29                               university of toronto          canada
17         19         26         27         21                              king 's college london  united kingdom
18         21         18         17         19                                   mcgill university          canada
19         22         17         14         15                              university of michigan   united states
20         23         20         19         14                                     duke university   united states
21         24         25         28         31                    national university of singapore       singapore
22         25         22         21         28                 university of california , berkeley   united states
23         26         23         22         23                         the university of hong kong       hong kong
24         27         24         26         20                      australian national university       australia
25         28         34         33         33                            ecole normale supãrieure          france
26         29         27         24         26                             northwestern university   united states
27         30         28         30         27                               university of bristol  united kingdom
28         31         36         31         38                         the university of melbourne       australia
29         32         30         25         24                             the university of tokyo           japan
30         33         32         29         30                        the university of manchester  united kingdom
31         34         33         40         40  the hong kong university of science and technology       hong kong
32         35         35         32         25                                    kyoto university           japan
33         35         37         42         50                           seoul national university     south korea
34         37         38         41         48                   university of wisconsin - madison   united states
35         38         39         38         37                            the university of sydney       australia
36         39         40         37         42                 the chinese university of hong kong       hong kong
37         40         31         34         35              university of california , los angeles   united states
38         41         41         36         36                                 ecole polytechnique          france
39         41         47         58         74                    nanyang technological university       singapore
40         43         46         48         43                        the university of queensland       australia
41         44         43         44         41                                 new york university   united states
42         45         51         52         45                            university of copenhagen         denmark
43         46         44         46         47                                   peking university           china
44         47         42         39         39                                    brown university   united states
45         48         48         47         54                                 tsinghua university           china
46         49         45         51         44                      university of british columbia          canada
