       district      incumbent                    party  first elected                                result                                        candidates
0    virginia 1  daniel morgan               federalist           1797               retired federalist hold       robert page (f) 54.3% john smith (dr) 45.7%
1    virginia 2   david holmes  democratic - republican           1797                          re - elected          david holmes (dr) robert porterfield (f)
2    virginia 3   james machir               federalist           1797  retired democratic - republican gain  george jackson (dr) 53.9% john haymond (f) 46.0%
3    virginia 4    abram trigg  democratic - republican           1797                          re - elected  abram trigg (dr) 88.5% william preston (f) 11.5%
4    virginia 5   john j trigg  democratic - republican           1797                          re - elected              john j trigg (dr) george hancock (f)
5    virginia 6   matthew clay  democratic - republican           1797                          re - elected                matthew clay (dr) isaac coles (dr)
6   virginia 12   thomas evans               federalist           1797                          re - elected       thomas evans (f) 62.3% john page (dr) 37.7%
7   virginia 13   john clopton  democratic - republican           1795    lost re - election federalist gain               john marshall (f) john clopton (dr)
8   virginia 15    john dawson  democratic - republican           1797                          re - elected                                  john dawson (dr)
9   virginia 16    anthony new  democratic - republican           1793                          re - elected              anthony new (dr) benjamin temple (f)
10  virginia 17  richard brent  democratic - republican           1795               retired federalist gain      leven powell (f) 63.8% roger west (dr) 36.4%
11  virginia 18  john nicholas  democratic - republican           1793                          re - elected             john nicholas (dr) john blackwell (f)
