                     tournament                         2009                         2010                         2011                         2012
0        grand slam tournaments       grand slam tournaments       grand slam tournaments       grand slam tournaments       grand slam tournaments
1               australian open                            a                           1r                           1r                           2r
2                   french open                           qf                           qf                           2r                            a
3                     wimbledon                           1r                           2r                           2r                           1r
4                       us open                            a                           1r                           3r                           sf
5                    win - loss                        3 - 2                        4 - 4                        4 - 3                        5 - 3
6         atp world tour finals        atp world tour finals        atp world tour finals        atp world tour finals        atp world tour finals
7         atp world tour finals              did not qualify              did not qualify              did not qualify                            w
8   atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000  atp world tour masters 1000
9                  indian wells                           2r                            w                           sf                            w
10                        miami                           2r                           2r                           2r                           2r
11                  monte carlo                            a                           qf                           1r                           sf
12                       madrid                           2r                           qf                           2r                           qf
13                         rome                            a                            a                           1r                            w
14                       canada                            a                            a                           1r                            f
15                   cincinnati                            a                            a                           2r                           qf
16                     shanghai                            a                           2r                           1r                            a
17                        paris                            a                            a                            a                            a
18                   win - loss                        3 - 3                       11 - 4                        6 - 8                       20 - 5
19            career statistics            career statistics            career statistics            career statistics            career statistics
20              titles - finals                        1 - 1                        3 - 4                        1 - 4                        4 - 8
21                   win - loss                      13 - 10                      37 - 20                      33 - 27                      48 - 20
