     res      record                  opponent                            method                                 event  round  time                  location
0   loss  21 - 5 - 1             dong hyun kim              decision (unanimous)       ufc on fuel tv : silva vs stann      3  5:00           saitama , japan
1    win  21 - 4 - 1              paulo thiago                        ko (punch)  ufc on fuel tv : gustafsson vs silva      1  0:42        stockholm , sweden
2    win  20 - 4 - 1              tommy depret                     tko (punches)                                 ug 14      2  4:16           moscow , russia
3    win  19 - 4 - 1              john alessio           tko (punches and knees)                                 ug 13      1  1:55       charleroi , belgium
4    win  18 - 4 - 1             derrick noble                     tko (punches)                                 ug 12      1  1:54   amsterdam , netherlands
5    win  17 - 4 - 1  carlos alexandre pereira                        ko (punch)                             shooto 17      1  1:34   rio de janeiro , brazil
6    win  16 - 4 - 1               robert jocz               decision (majority)                                 ug 11      3  5:00   amsterdam , netherlands
7    win  15 - 4 - 1             leandro silva                     tko (punches)                             shooto 13      1  3:14            ceara , brazil
8   loss  14 - 4 - 1            jorge santiago            submission (heel hook)                             sengoku 6      1  1:10           saitama , japan
9    win  14 - 3 - 1        evangelista santos                      tko (injury)                             sengoku 5      1  0:22             tokyo , japan
10  loss  13 - 3 - 1              kazuo misaki     submission (guillotine choke)                             sengoku 1      2  2:02             tokyo , japan
11   win  13 - 2 - 1         nathan schouteren              submission (strikes)                                  ug 6      1  4:17         ede , netherlands
12   win  12 - 2 - 1           shiko yamashita              decision (unanimous)                              shooto 4      3  5:00             tokyo , japan
13   win  11 - 2 - 1          kurt verschueren                tko (soccer kicks)                                  ug 4      1  0:55   rotterdam , netherlands
14   win  10 - 2 - 1                rody trost                     tko (strikes)                                  ug 3      2  3:19   amsterdam , netherlands
15   win   9 - 2 - 1            rolandas agrba   submission (rear - naked choke)                                  ug 2      1  0:26   amsterdam , netherlands
16   win   8 - 2 - 1             dennis de rus              decision (unanimous)                               both 14      3  3:00   beverwijk , netherlands
17   win   7 - 2 - 1           alexander penao            submission (heel hook)                               both 13      1  3:31   barneveld , netherlands
18  loss   6 - 2 - 1             stefan klever                  decision (split)                               both 12      2  5:00     utrecht , netherlands
19  loss   6 - 1 - 1         nathan schouteren              decision (unanimous)                               both 11      2  5:00  vlissingen , netherlands
20  draw   6 - 0 - 1            patrick vallee                      draw (split)                               both 10      2  5:00  vlissingen , netherlands
21   win       6 - 0        arschak dahabagian              decision (unanimous)                                both 9      2  5:00         ede , netherlands
22   win       5 - 0         dennis van asselt  submission (north - south choke)                                both 8      1  2:23        goes , netherlands
23   win       4 - 0       sebastiaan rijtslag   submission (rear - naked choke)                                both 7      1  2:32        goes , netherlands
24   win       3 - 0         hubert veenendaal       submission (triangle choke)                                both 6      1  2:28   culemborg , netherlands
25   win       2 - 0         mingoes pelupessy                    ko (head kick)                                both 5      1  0:19   culemborg , netherlands
26   win       1 - 0                marc lange                      ko (punches)                                both 4      1  0:57     zutphen , netherlands
