    rank               nation  gold  silver  bronze  total
0      1                 cuba    27      17       7     50
1      2               mexico     6       6       7     19
2      3              jamaica     2       5       0      8
3      4  trinidad and tobago     1       1       3      5
4      5             colombia     1       1       0      2
5      6           costa rica     1       0       2      3
6      7            venezuela     0       2       5      7
7      8          puerto rico     0       2       4      6
8      9              bahamas     0       1       4      5
9     10              bermuda     0       1       3      4
10    11            guatemala     0       1       1      2
11    11   dominican republic     0       1       1      2
12    13             barbados     0       0       1      1
