    rank        nation  gold  silver  bronze  total
0      1  soviet union     5       2       1      8
1      2        turkey     2       2       1      5
2      3       hungary     1       2       1      4
3      4      bulgaria     0       1       0      1
4      4  west germany     0       1       0      1
5      6  east germany     0       0       2      2
6      7       romania     0       0       1      1
7      7        sweden     0       0       1      1
8      7    yugoslavia     0       0       1      1
9  total         total     8       8       8     24
