    round          date                 grand prix         circuit             125cc winner             250cc winner    motogp winner  report
0       1       9 march           qatar grand prix          losail             sergio gadea            mattia pasini     casey stoner  report
1       2      30 march         spanish grand prix           jerez             simone corsi              mika kallio     dani pedrosa  report
2       3      13 april      portuguese grand prix         estoril             simone corsi          álvaro bautista    jorge lorenzo  report
3       4         4 may         chinese grand prix        shanghai           andrea iannone              mika kallio  valentino rossi  report
4       5        18 may          french grand prix         le mans           mike di meglio               alex debón  valentino rossi  report
5       6        1 june         italian grand prix         mugello             simone corsi         marco simoncelli  valentino rossi  report
6       7        8 june         catalan grand prix       catalunya           mike di meglio         marco simoncelli     dani pedrosa  report
7       8       22 june         british grand prix       donington            scott redding              mika kallio     casey stoner  report
8       9       28 june                   dutch tt           assen           gábor talmácsi          álvaro bautista     casey stoner  report
9      10       13 july          german grand prix     sachsenring           mike di meglio         marco simoncelli     casey stoner  report
10     11       20 july   united states grand prix     laguna seca  no 125cc and 250cc race  no 125cc and 250cc race  valentino rossi  report
11     12     17 august  czech republic grand prix            brno             stefan bradl               alex debón  valentino rossi  report
12     13     31 august      san marino grand prix          misano           gábor talmácsi          álvaro bautista  valentino rossi  report
13     14  14 september    indianapolis grand prix    indianapolis            nicolás terol           race cancelled  valentino rossi  report
14     15  28 september        japanese grand prix          motegi             stefan bradl         marco simoncelli  valentino rossi  report
15     16     5 october      australian grand prix  phillip island           mike di meglio         marco simoncelli     casey stoner  report
16     17    19 october       malaysian grand prix          sepang           gábor talmácsi          álvaro bautista  valentino rossi  report
17     18    26 october       valencian grand prix        valencia             simone corsi         marco simoncelli     casey stoner  report
