    rank          nation  gold  silver  bronze  total
0      1   united states     5       2       3     10
1      2          france     4       2       1      7
2      3         germany     3       3       3      9
3      4     netherlands     3       0       0      3
4      5     switzerland     2       3       1      6
5      6          russia     1       2       2      5
6      7           spain     1       1       1      3
7      8  united kingdom     1       0       1      2
8      9     new zealand     0       2       2      4
9     10          canada     0       2       0      2
10    11       australia     0       1       1      2
11    11         austria     0       1       1      2
12    11           italy     0       1       1      2
13    14       lithuania     0       0       2      2
14    15         denmark     0       0       1      1
