    rank               nation  gold  silver  bronze  total
0      1                 cuba    27      19      14     60
1      2               mexico     4       4       4     12
2      3          puerto rico     3       4       4     11
3      4              jamaica     3       3       2      8
4      5              bahamas     1       3       2      6
5      6  trinidad and tobago     1       2       1      4
6      7               guyana     1       0       0      1
7      8            venezuela     0       3       5      8
8      9   dominican republic     0       2       6      8
9     10             barbados     0       0       1      1
10    10              bermuda     0       0       1      1
