    rank         country  jerseys  vuelta wins  points  combo'  different holders
0      1           spain      631           31      15      12                 85
1      2          france      155            9       5       2                 24
2      3         belgium      140            7      13       2                 26
3      4           italy      100            5       4       1                 18
4      5     switzerland       89            5       2       1                  5
5      6         germany       50            4       7       0                  7
6      7     netherlands       45            2       5       0                 10
7      8          russia       30            2       0       2                  3
8      9  united kingdom       26            0       1       0                  6
9     10        colombia       23            1       0       1                  4
10    11         ireland       17            1       4       2                  3
11    12   united states       12            1       0       1                  3
12  13 =        portugal        5            0       0       0                  1
13  13 =      kazakhstan        5            1       0       1                  1
14  13 =       australia        5            0       0       0                  2
15  13 =         denmark        5            0       0       0                  2
16  17 =          norway        3            0       1       0                  1
17  17 =        slovenia        3            0       0       0                  1
18    18      luxembourg        2            0       0       0                  1
19    19      uzbekistan        0            0       1       0                  0
