    rank                                      name          nation  points  placings
0      1         krisztina regőczy / andrás sallay         hungary  205.58        13
1      2     natalia linichuk / gennadi karponosov    soviet union  204.50        18
2      3          irina moiseeva / andrei minenkov    soviet union  202.42        24
3      4          jayne torvill / christopher dean  united kingdom  199.12        35
4      5              lorna wighton / john dowding          canada  195.18        48
5      6           judy blumberg / michael seibert   united states  194.12        52
6      7  natalia karamysheva / rostislav sinitsyn    soviet union  189.66        63
7      8               stacey smith / john summers   united states  187.12        72
8      9     henriette fröschl / christian steiner    west germany  184.02        80
9     10               karen barber / nicky slater  united kingdom  178.94        92
10    11               jana berankova / jan bartak  czechoslovakia  176.16        97
11    12             nathalie herve / pierre bechu          france  171.24       108
12    13              marie mcneil / robert mccall          canada  168.58       116
13    14                jindra hola / karol foltan  czechoslovakia  162.60       132
14    15          noriko sato / tadeyuki takahashi           japan  162.02       133
15    16           gabriella remport / sándor nagy         hungary  159.52       142
16    17         paola casalotti / sergio ceserani           italy  158.50       150
