    round  pick           player           position                  college
0       1    16   james williams     defensive back             fresno state
1       2    43  carwell gardner       running back               louisville
2       3    70     glenn parker              guard                  arizona
3       4   101     eddie fuller       running back                      lsu
4       6   155        john nies             punter                  arizona
5       7   167   brent griffith              guard       minnesota - duluth
6       7   171    brent collins         linebacker          carson - newman
7       7   182     fred deriggi        nose tackle                 syracuse
8       8   209   marvcus patton  middle linebacker                     ucla
9       9   239  clarkston hines      wide receiver                     duke
10     10   266      mike lodish   defensive tackle                     ucla
11     11   293       al edwards      wide receiver  northwestern state , la
