   position                     driver / passenger       equipment  bike no  points
0         1    daniãl willemsen / sven verbrugge 1     zabel - wsp        1     487
1         2         janis daiders / lauris daiders     zabel - vmc        8     478
2         3           jan hendrickx / tim smeuninx     zabel - vmc        3     405
3         4     maris rupeiks / kaspars stupelis 2     zabel - wsp        5     349
4         5      etienne bax / ben van den bogaart     zabel - vmc        4     347
5         6      ben adriaenssen / guennady auvray       ktm - vmc        6     346
6         7  ewgeny scherbinin / haralds kurpnieks     zabel - wsp       20     321
7         8      marko happich / meinrad schelbert     zabel - vmc       15     317
8         9      joris hendrickx / kaspars liepins       ktm - vmc        2     315
9        10           daniel millard / joe millard  husaberg - wht       14     268
