    year              film / video           visual arts                     theatre              dance              music
0   1995           leslie thornton              mel chin                  reza abdoh        ann carlson       james carter
1   1996              su friedrich      carrie mae weems          suzan - lori parks     david rousseve       anne lebaron
2   1997             craig baldwin  kerry james marshall                   lisa kron     victoria marks            chen yi
3   1998           jeanne c finley             roni horn                  danny hoch     joanna haigood           pamela z
4   1999          lourdes portillo          pepon osorio               brian freeman        ralph lemon       george lewis
5   2000              peggy ahwesh         shirin neshat             w david hancock         mark dendy      steve coleman
6   2001               ellen bruno       cai guo - qiang                    erik ehn         john kelly          zhou long
7   2002                       ®tm     christian marclay             david greenspan        lisa nelson    laetitia sonami
8   2003                coco fusco        catherine opie            carl hancock rux      rennie harris         vijay iyer
9   2004       renee tajima - peña    catherine sullivan                  dan hurlin  stephan koplowitz       miya masaoka
10  2005                 jem cohen      harrell fletcher                naomi iizuka     donna uchizono         david dunn
11  2006             bill morrison            jim hodges      daniel alexander jones    sarah michelson  lawrence d morris
12  2007           jacqueline goss            walid raad             cynthia hopkins    jeanine durning       mark feldman
13  2008             bruce mcclure             bryon kim                lisa d'amour         pat graney       derek bermel
14  2009                 paul chan         paul pfeiffer                rinde eckert      reggie wilson          john king
15  2010               jim trainor       rachel harrison                  bill talen     susan rethorst       lukas ligeti
16  2011            natalia almada           emily jacir         marc bamuthi joseph        jess curtis    nicole mitchell
17  2012             kevin everson         michael smith                  eisa davis    nora chipaumire       myra melford
18  2013  lucien castaing - taylor          sharon hayes  pavol liska & kelly copper       julia rhoads        alex mincek
