                 name          original publisher                           first appearance  year       date
0              x' hal                   dc comics           the new teen titans , vol 1 , 24  1982    october
1              x - 21                   dc comics                action comics , vol 1 , 333  1966   february
2              x - 24                   dc comics                the new titans , vol 1 , 73  1991   february
3           x - 2 - y                   dc comics                action comics , vol 1 , 344  1966   december
4   x - 5 super agent              quality comics                     hit comics , vol 1 , 1  1940       july
5                   x              quality comics                military comics , vol 1 , 1  1942      march
6       xadu , doctor                   dc comics             adventure comics , vol 1 , 283  1961      april
7               xanna  gorilla comics / dc comics                         empire , vol 1 , 1  2000        may
8              xanthi                   dc comics                    new titans , vol 1 , 51  1989    january
9               xardo                   dc comics                action comics , vol 1 , 325  1965       june
10              xasnu                   dc comics                action comics , vol 1 , 278  1961       july
11   xavier , charles   dc comics / marvel comics        dc versus marvel comics , vol 1 , 3  1996   february
12            xax (i)                   dc comics                  green lantern , vol 2 , 9  1961   december
13           xax (ii)                   dc comics                            52 , vol 1 , 31  2006   december
14     x - bomb betty                   dc comics                   legionnaires , vol 1 , 2  1993        may
15              xebel                   dc comics                       aquaman , vol 1 , 11  1963  september
16         xeen arrow                   dc comics             adventure comics , vol 1 , 253  1958    october
17           xenofobe                   dc comics                       superman , vol 1 295  1976    january
18                xeo                   dc comics              detective comics , vol 1. 260  1958    october
19               xera                   dc comics      legion of super - heroes , vol 3 , 32  1987      march
20               xero                   dc comics                           xero , vol 1 , 1  1997        may
21         xiang - fa                   dc comics                 green lantern , vol 3 , 19  1991   december
22        xiuhtecutli                   dc comics  justice league international , vol 2 , 63  1994      april
23     xl terrestrial       warner bros animation                    teen titans (tv series)  2004  august 28
24            xola aq                   dc comics             adventure comics , vol 1 , 350  1966   november
25             xolotl                   dc comics                            52 , vol 1 , 21  2006  september
26              xombi             milestone media                          xombi , vol 1 , 0  1994    january
27              xotar                   dc comics            brave and the bold , vol 1 , 29  1960        may
28                xov                   dc comics                        action comics , 242  1958       july
29                 xs                   dc comics                   legionnaires , vol 1 , 0  1994    october
30             xylpth                   dc comics                green lantern , vol 2 , 151  1982      april
