          geelong dfl  wins  byes  losses  draws  against
0   werribee centrals    16     0       2      0     1276
1      bell post hill    15     0       3      0     1264
2         bannockburn    15     0       3      0     1261
3       north geelong    12     0       6      0     1440
4        east geelong    12     0       6      0     1311
5             thomson    10     0       8      0     1658
6          winchelsea     9     0       9      0     1600
7          inverleigh     7     0      11      0     1415
8              anakie     6     0      12      0     1943
9               corio     4     0      14      0     2492
10    geelong west sc     1     0      17      0     2174
11      belmont lions     1     0      17      0     2709
