                           1999 / 00                         2000 / 01                         2001 / 02                         2002 / 03                         2003 / 04                         2004 / 05                         2005 / 06                         2006 / 07                         2007 / 08                         2008 / 09                         2009 / 10                         2010 / 11                         2011 / 12                         2012 / 13
0    147 he was not on the main tour                               151                               169                                72                                64                                48                                21                                 5                                 3                                 3                                 3                                 7                                 7                                 6
1                ranking tournaments               ranking tournaments               ranking tournaments               ranking tournaments               ranking tournaments               ranking tournaments               ranking tournaments               ranking tournaments               ranking tournaments               ranking tournaments               ranking tournaments               ranking tournaments               ranking tournaments               ranking tournaments
2                tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held                     non - ranking                     non - ranking                     non - ranking                     non - ranking                                1r
3                tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held                                sf                                qf
4                tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held                                1r                                1r                                sf                                2r                                qf                                sf
5                tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held
6                tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held                                sf
7                                  a                                 a                                lq                                qr                                lq                                lq                                3r                                2r                                sf                                 w                                2r                                sf                                qf                                 f
8                tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held                                2r                                sf                                qf
9                                  a                                 a                                lq                                lq                                lq                                lq                                 f                                qf                                sf                                qf                                1r                                1r                                sf                                1r
10                                 a                                 a                                lq                                lq                                3r                                1r                                3r                                rr                                sf                                1r                                1r                                lq                                qf                                2r
11               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held                                 w                               dnq                               dnq
12                                 a                                 a                                lq                          not held                          not held                                lq                                1r                                qf                                 f                                qf                                1r                                sf                                1r                                sf
13                                lq                                lq                                1r                                1r                                lq                                 w                                qf                                sf                                2r                                 f                                qf                                2r                                1r                                qf
14         non - ranking tournaments         non - ranking tournaments         non - ranking tournaments         non - ranking tournaments         non - ranking tournaments         non - ranking tournaments         non - ranking tournaments         non - ranking tournaments         non - ranking tournaments         non - ranking tournaments         non - ranking tournaments         non - ranking tournaments         non - ranking tournaments         non - ranking tournaments
15                                lq                                1r                                lq                                lq                                lq                                 a                                qf                                qf                                qf                                1r                                qf                                1r                                 f                                sf
16               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held                                sf                                rr                                rr                                 f                                2r                                rr
17        variant format tournaments        variant format tournaments        variant format tournaments        variant format tournaments        variant format tournaments        variant format tournaments        variant format tournaments        variant format tournaments        variant format tournaments        variant format tournaments        variant format tournaments        variant format tournaments        variant format tournaments        variant format tournaments
18               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held                                1r                                1r                                1r
19        former ranking tournaments        former ranking tournaments        former ranking tournaments        former ranking tournaments        former ranking tournaments        former ranking tournaments        former ranking tournaments        former ranking tournaments        former ranking tournaments        former ranking tournaments        former ranking tournaments        former ranking tournaments        former ranking tournaments        former ranking tournaments
20                                 a                                 a                                lq                                nr                          not held                          not held                          not held                                nr               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held
21                                 a                                 a                                lq                                1r                                2r               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held                                mr
22                                 a                                 a                                lq                                lq                                2r                                sf               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held
23               non - ranking event               non - ranking event               non - ranking event                                lq                                lq                                lq                                nh                                nr               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held
24                          not held                          not held                                lq                                lq                                lq                                1r                                2r                                 w                                nr               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held
25               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held                                nr                                qf                                sf                                2r               tournament not held               tournament not held               tournament not held               tournament not held
26               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held                                1r               tournament not held               tournament not held               tournament not held               tournament not held
27  former non - ranking tournaments  former non - ranking tournaments  former non - ranking tournaments  former non - ranking tournaments  former non - ranking tournaments  former non - ranking tournaments  former non - ranking tournaments  former non - ranking tournaments  former non - ranking tournaments  former non - ranking tournaments  former non - ranking tournaments  former non - ranking tournaments  former non - ranking tournaments  former non - ranking tournaments
28                          not held                          not held                     ranking event                     ranking event                     ranking event                     ranking event                     ranking event                     ranking event                                 w               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held
29               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held                                rr                                sf                                 w                                sf                           ranking
30               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held               tournament not held                                 w                          not held
31                                 a                                 a                                 a                                 a                                 a                                 a                                rr                                 a                                 a                                 a                                 w                                 f                                rr                                rr
