                tournament                    2007                    2008                    2009                    2010                    2011                    2012
0   grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments
1          australian open                      q2                      q3                      1r                      1r                      3r                      2r
2              french open                      q3                      q2                      2r                      1r                      3r                      2r
3                wimbledon                      q3                      1r                      q1                      1r                      2r                      1r
4                  us open                      q1                      q3                      1r                      3r                      1r                      1r
5               win - loss                   0 - 0                   0 - 1                   1 - 3                   2 - 4                   5 - 4                   2 - 4
6       atp masters series      atp masters series      atp masters series      atp masters series      atp masters series      atp masters series      atp masters series
7     indian wells masters                       a                       a                      2r                      2r                       a                      2r
8            miami masters                       a                       a                      1r                      3r                      2r                      1r
9      monte carlo masters                       a                       a                       a                       a                      1r                      q1
10            rome masters                       a                       a                       a                       a                      2r                      q1
11          madrid masters                       a                       a                       a                       a                      3r                      1r
12          canada masters                       a                       a                       a                      2r                      2r                      1r
13      cincinnati masters                       a                       a                       a                      1r                      1r                      1r
14        shanghai masters                     nms                     nms                       a                      1r                       a                      q2
15           paris masters                       a                       a                      q2                      2r                      2r                       a
16              win - loss                   0 - 0                   0 - 0                   1 - 2                   5 - 6                   6 - 7                   1 - 5
17       career statistics       career statistics       career statistics       career statistics       career statistics       career statistics       career statistics
18         titles - finals                   0 - 0                   1 - 0                   1 - 0                   2 - 0                   0 - 0                   0 - 0
19      year - end ranking                     199                      92                      60                      46                      62                     103
