                                   edition             round                          date                 against surface             opponent                 result
0     2002 fed cup europe / africa group i                rr                 24 april 2002                bulgaria    clay   desislava topalova  6 - 7 (4 - 7) , 1 - 6
1   2005 fed cup europe / africa group iii                rr                 26 april 2005                 moldova    clay        ina sireteanu          6 - 1 , 6 - 1
2   2005 fed cup europe / africa group iii  giii play - offs                 28 april 2005  bosnia and herzegovina    clay          selma babic          6 - 3 , 6 - 0
3    2007 fed cup europe / africa group ii                rr            17 - 19 april 2007  bosnia and herzegovina    hard        dijana stojic          6 - 3 , 6 - 3
4    2007 fed cup europe / africa group ii                rr            17 - 19 april 2007                 georgia    hard  oksana kalashnikova          7 - 5 , 6 - 4
5    2007 fed cup europe / africa group ii                rr            17 - 19 april 2007                  norway    hard      karoline steiro          6 - 2 , 6 - 1
6    2007 fed cup europe / africa group ii   gii play - offs                 20 april 2007                  greece    hard      asimina kaplani          6 - 2 , 6 - 1
7     2008 fed cup europe / africa group i                rr  30 january - 3 february 2008                bulgaria  carpet   tsvetana pironkova          1 - 6 , 0 - 6
8     2008 fed cup europe / africa group i                rr  30 january - 3 february 2008             netherlands  carpet          arantxa rus          5 - 7 , 4 - 6
9    2009 fed cup europe / africa group ii                rr            22 - 24 april 2009                 morocco    hard         nadia lalami          6 - 1 , 6 - 0
10   2009 fed cup europe / africa group ii                rr            22 - 24 april 2009                  latvia    hard        irina kuzmina          6 - 2 , 6 - 1
11   2009 fed cup europe / africa group ii   gii play - offs                 25 april 2009            south africa    hard    lizaan du plessis          6 - 2 , 6 - 3
12    2010 fed cup europe / africa group i                rr           4 - 5 february 2010                  cratia    hard     ajla tomljanović  6 - 7 (6 - 8) , 4 - 6
13    2010 fed cup europe / africa group i                rr           4 - 5 february 2010             switzerland    hard       amra sadikovic          4 - 6 , 1 - 6
14    2010 fed cup europe / africa group i    gi play - offs               6 february 2010                bulgaria    hard         dia evtimova          1 - 6 , 1 - 6
