   city / municipality  no of s barangay  population (2010)  area (km square)  pop density (per km square)
0                adams                 1               1785            159.31                         11.2
1              bacarra                43              31648             65.32                        484.5
2                badoc                31              30708             76.68                        400.5
3               bangui                15              15025            112.98                        133.0
4     banna (espiritu)                20              19051             92.73                        205.4
5           batac city                43              53542            161.06                        332.4
6               burgos                11               9687            128.90                         75.2
7               carasi                 3               1473             82.97                         17.8
8             currimao                23              11970             34.08                        351.2
9              dingras                31              37021             96.00                        385.6
10            dumalneg                 1               1814             88.48                         20.5
11          laoag city                80             104904            116.08                        903.7
12              marcos                13              16984             72.77                        233.4
13           nueva era                11               7837            515.02                         15.2
14            pagudpud                16              21877            194.90                        112.2
15               paoay                31              23956             76.24                        314.2
16            pasuquin                33              27952            210.54                        132.8
17              piddig                23              20606            216.20                         95.3
18              pinili                25              16732             89.48                        187.0
19         san nicolas                24              34237             40.18                        852.1
20              sarrat                24              24770             57.39                        431.6
21             solsona                22              22990            166.23                        138.3
