    pick              player    position    nationality             nhl team                      college / junior / club team
0    157    sergei polischuk     defence         russia      ottawa senators                           krylja sovetov (russia)
1    158     anatoly filatov     forward         russia      san jose sharks                ust - kamenogorsk torpedo (russia)
2    159        mathieu raby     defence         canada  tampa bay lightning                      victoriaville tigers (qmjhl)
3    160          ryan meade   left wing  united states   chicago blackhawks  bloomington kennedy high school (hs - minnesota)
4    161        trevor doyle     defence         canada     florida panthers                         kingston frontenacs (ohl)
5    162  sergei kondrashkin   left wing         russia     new york rangers                    cherepovets metallurg (russia)
6    163    alexander zhurik     defence        belarus      edmonton oilers                             dynamo minsk (russia)
7    164       todd marchant   left wing  united states     new york rangers                        clarkson university (ncaa)
8    165      jeremy stasiuk  right wing         canada         dallas stars                              spokane chiefs (whl)
9    166        aaron israel  goaltender  united states  philadelphia flyers                         harvard university (ncaa)
10   167          mike buzak  goaltender         canada       st louis blues                  michigan state university (ncaa)
11   168     sergei petrenko   left wing        ukraine       buffalo sabres                            moscow dynamo (russia)
12   169  nikolai zavarukhin      centre         russia    new jersey devils                      ufa salavat yulayev (russia)
13   170     darren van impe     defence         canada   new york islanders                             red deer rebels (whl)
14   171        martin woods     defence         canada        winnipeg jets                      victoriaville tigers (qmjhl)
15   172       justin martin  right wing  united states    los angeles kings         essex junction high school (hs - vermont)
16   173     dan hendrickson      centre  united states  washington capitals                            st paul vulcans (ushl)
17   174     andrew brunette   left wing         canada  washington capitals                     hampton roads admirals (echl)
18   175        jeff andrews   left wing         canada  toronto maple leafs                       north bay centennials (ohl)
19   176     evgeny babariko      centre         russia    vancouver canucks                  nizhny novgorod torpedo (russia)
20   177         david ruhly   left wing  united states   montreal canadiens                 culver military academy (indiana)
21   178        yuri yuresko     defence         russia    detroit red wings                              cska moscow (russia)
22   179          david ling  right wing         canada     quebec nordiques                         kingston frontenacs (ohl)
23   180           tom white   left wing  united states   chicago blackhawks        westminster high school (hs - connecticut)
24   181         ryan golden   left wing  united states        boston bruins          reading high school (hs - massachusetts)
25   182        sean selmser   left wing         canada  pittsburgh penguins                             red deer rebels (whl)
