    series                           title        directed by                  written by   original air date  us viewers (millions)
0        1                           pilot  charles mcdougall                 marc cherry    october 3 , 2004                  21.64
1        2             ah , but underneath         larry shaw                 marc cherry   october 10 , 2004                  20.03
2        3           pretty little picture     arlene sanford            oliver goldstick   october 17 , 2004                  20.87
3        4               who 's that woman        jeff melman  marc cherry & tom spezialy   october 24 , 2004                  21.49
4        5              come in , stranger     arlene sanford        alexandra cunningham   october 31 , 2004                  22.14
5        6          running to stand still        fred gerber                tracey stern   november 7 , 2004                  24.60
6        7             anything you can do         larry shaw   john pardee & joey murphy  november 21 , 2004                  24.21
7        8                          guilty        fred gerber                kevin murphy  november 28 , 2004                  27.24
8        9                suspicious minds         larry shaw                  jenna bans  december 12 , 2004                  21.56
9       10                 come back to me        fred gerber                   patty lin  december 19 , 2004                  22.34
10      11                         move on   john david coles              david schulner    january 9 , 2005                  25.20
11      12        every day a little death     david grossman                 chris black   january 16 , 2005                  24.09
12      13                      your fault     arlene sanford                 kevin etten   january 23 , 2005                  25.95
13      14              love is in the air        jeff melman                tom spezialy  february 13 , 2005                  22.30
14      15                      impossible         larry shaw  marc cherry & tom spezialy  february 20 , 2005                  24.18
15      16            the ladies who lunch     arlene sanford        alexandra cunningham     march 27 , 2005                  24.08
16      17         there won't be trumpets        jeff melman   john pardee & joey murphy      april 3 , 2005                  24.61
17      18            children will listen         larry shaw                kevin murphy     april 10 , 2005                  25.55
18      19          live alone and like it     arlene sanford                  jenna bans     april 17 , 2005                  25.27
19      20                    fear no more        jeff melman                   adam barr        may 1 , 2005                  25.69
20      21  sunday in the park with george         larry shaw                  katie ford        may 8 , 2005                  26.10
