               tournament                1990                1991                1992                1993                1994                1995                1996
0             grand slams         grand slams         grand slams         grand slams         grand slams         grand slams         grand slams         grand slams
1         australian open                  3r                  1r                  2r                   a                  2r                  qf                  sf
2             french open                  1r                  3r                   w                  1r                  2r                  sf                   f
3               wimbledon                  3r                   a                  sf                  1r                  1r                  qf                  qf
4                 us open                  qf                  1r                  2r                  1r                   a                  2r                  sf
5              win - loss               6 - 4               2 - 3              12 - 3               0 - 3               2 - 3              11 - 4              16 - 4
6      atp masters series  atp masters series  atp masters series  atp masters series  atp masters series  atp masters series  atp masters series  atp masters series
7            indian wells                   a                   a                  1r                  2r                   a                   a                  2r
8                   miami                  sf                  2r                  3r                   a                   a                   a                  2r
9             monte carlo                  qf                   a                  qf                  2r                   a                   a                   a
10                   rome                  1r                  sf                   w                  1r                   a                   a                  1r
11                hamburg                  qf                   a                   a                   a                   a                   a                   f
12                 canada                  1r                  qf                   a                  1r                  2r                  qf                  1r
13             cincinnati                  sf                  1r                  sf                  1r                   a                   a                  1r
14  stuttgart (stockholm)                   w                  qf                   a                   a                   a                   a                  2r
15                  paris                  qf                  2r                  2r                  2r                   a                  qf                  2r
16             win - loss              13 - 7               7 - 6              12 - 5               1 - 6               1 - 1               3 - 2               4 - 8
17                ranking                  12                  39                   8                 180                  49                  24                   9
