   place              player        country  score  to par
0      1        juli inkster  united states     65       7
1     t2         momoko ueda          japan     66       6
2     t2          laura diaz  united states     66       6
3     t2         ji young oh    south korea     66       6
4     t2          yuri fudoh          japan     66       6
5     t2        johanna head        england     66       6
6     t2  stacy prammanasudh  united states     66       6
7     t2          jiyai shin    south korea     66       6
8     t9    kristy mcpherson  united states     67       5
9     t9      karen stupples        england     67       5
10    t9      rebecca hudson        england     67       5
11    t9   sherri steinhauer  united states     67       5
