     res  record              opponent                         method                                        event  round   time                                  location
0   loss  40 - 7         pablo alfonso  submission (guillotine choke)  world series of fighting 6: burkman vs carl      1   3:05    coral gables , florida , united states
1   loss  40 - 6         marlon moraes               decision (split)                                       wsof 1      3   5:00        las vegas , nevada , united states
2   loss  40 - 5      michael mcdonald                   ko (punches)                                      ufc 145      1   3:18         atlanta , georgia , united states
3    win  40 - 4             nick pace           decision (unanimous)                                      ufc 139      3   5:00     san jose , california , united states
4   loss  39 - 4    demetrious johnson           decision (unanimous)                                      ufc 130      3   5:00        las vegas , nevada , united states
5    win  39 - 3      antonio banuelos           decision (unanimous)                                      ufc 126      3   5:00        las vegas , nevada , united states
6    win  38 - 3      charlie valencia  submission (rear naked choke)                                       wec 51      2   2:25     broomfield , colorado , united states
7   loss  37 - 3      joseph benavidez  submission (guillotine choke)                                       wec 47      2   2:57           columbus , ohio , united states
8   loss  37 - 2          brian bowles                   ko (punches)                                       wec 42      1   3:57        las vegas , nevada , united states
9    win  37 - 1       takeya mizugaki           decision (unanimous)                                       wec 40      5   5:00        chicago , illinois , united states
10   win  36 - 1           manny tapia       tko (punches and elbows)                                       wec 37      2   3:04        las vegas , nevada , united states
11   win  35 - 1         yoshiro maeda          tko (doctor stoppage)                                       wec 34      3   5:00   sacramento , california , united states
12   win  34 - 1           chase beebe  submission (guillotine choke)                                       wec 32      1   3:59  albuquerque , new mexico , united states
13   win  33 - 1           jeff bedard    submission (triangle choke)                                       wec 30      1   2:30        las vegas , nevada , united states
14   win  32 - 1     darius turcinskas  submission (rear naked choke)                              immac 2: attack      2   0:57        chicago , illinois , united states
15   win  31 - 1        charles wilson    submission (triangle choke)                      total fight challenge 7      3   1:29         hammond , indiana , united states
16   win  30 - 1          bobby gamboa  submission (rear naked choke)                                       afc 19      1   2:52      boca raton , florida , united states
17   win  29 - 1         derek collins                  tko (punches)                      total fight challenge 6      1   2:32         hammond , indiana , united states
18   win  28 - 1        richard nancoo                  tko (punches)                              ihc 10: tempest      2  n / a         hammond , indiana , united states
19   win  27 - 1           joe pearson    submission (triangle choke)                      total fight challenge 5      1   0:28         hammond , indiana , united states
20   win  26 - 1         ryan ackerman            submission (armbar)                             ihc 9: purgatory      1   4:45         hammond , indiana , united states
21   win  25 - 1             dan swift           decision (unanimous)                      total fight challenge 3      3   5:00         hammond , indiana , united states
22   win  24 - 1           mike french    submission (triangle choke)                                superbrawl 40      2   2:44         hammond , indiana , united states
23   win  23 - 1          jim bruketta    submission (triangle choke)                      total fight challenge 2      2   2:08         hammond , indiana , united states
24   win  22 - 1       alex khanbabian            submission (armbar)                              ihc 8: ethereal      1   1:01         hammond , indiana , united states
25   win  21 - 1      mustafa hussaini                  tko (punches)                          ihc 7: the crucible      3   1:24         hammond , indiana , united states
26  loss  20 - 1         ryan ackerman           decision (unanimous)                               ihc 6: inferno      3   5:00         hammond , indiana , united states
27   win  20 - 0     lindsey durlacher           decision (unanimous)                            ihc 4: armageddon      3   5:00         hammond , indiana , united states
28   win  19 - 0           brian szohr    submission (triangle choke)                   tcc : battle of the badges      1   3:36         hammond , indiana , united states
29   win  18 - 0      craig williamson    submission (triangle choke)                   tcc : battle of the badges      1   2:45         hammond , indiana , united states
30   win  17 - 0           steve reyna          tko (doctor stoppage)                                ihc 3: exodus      1   5:00         hammond , indiana , united states
31   win  16 - 0         nick mitchell           decision (unanimous)                                ihc 3: exodus      2   5:00         hammond , indiana , united states
32   win  15 - 0            danny long                   ko (punches)                       total combat challenge      1  n / a         hammond , indiana , united states
33   win  14 - 0     patrick rodriguez                     submission                                 finke 's fcc      2   1:41        highland , indiana , united states
34   win  13 - 0            josh mason           submission (punches)                                  cage rage 2      2  n / a          kokomo , indiana , united states
35   win  12 - 0        mark jaromillo            submission (armbar)                                 finke 's fcc      2   2:40        highland , indiana , united states
36   win  11 - 0            david odle           submission (punches)                                 finke 's fcc      1   2:05        highland , indiana , united states
37   win  10 - 0       danny alexander  submission (rear naked choke)                                 finke 's fcc      1   0:58        highland , indiana , united states
38   win   9 - 0  jesse gudenschwagger          tko (doctor stoppage)                           mma invitational 4      2   5:00         hammond , indiana , united states
39   win   8 - 0          chad bratton           decision (unanimous)                        extreme shootfighting      1  15:00    indianapolis , indiana , united states
40   win   7 - 0           ricky olson           decision (unanimous)                        extreme shootfighting      1  15:00    indianapolis , indiana , united states
41   win   6 - 0         cory merriman           submission (punches)                        extreme shootfighting      1   1:27    indianapolis , indiana , united states
42   win   5 - 0            dan caesar           submission (punches)                                 finke 's fcc      1   4:30        highland , indiana , united states
43   win   4 - 0           kris kramer    submission (triangle choke)                                 finke 's fcc      1   3:00        highland , indiana , united states
44   win   3 - 0         michael reyna           submission (punches)                                 finke 's fcc      1   1:22        highland , indiana , united states
45   win   2 - 0            dan caesar  submission (guillotine choke)                                 finke 's fcc      1   4:09        highland , indiana , united states
46   win   1 - 0         larry pulliam                  tko (punches)                                 finke 's fcc      1   0:10        highland , indiana , united states
